id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
30,ago,adverb,a1,N/A,മുൻപ് / മുമ്പ്,munp / mump
31,air (travel),noun,a1,N/A,വിമാനം / വ്യോമയാനം,vimānaṁ / vyōmayānaṁ
32,airport,noun,a1,N/A,വിമാനത്താവളം / എയർപോർട്ട്,vimānattāvaḷaṁ / eyarpōrṭṭ
33,all (entire duration or quantity),determiner,a1,N/A,എല്ലാ / മുഴുവൻ / സകല,ellā / muḻuvan / sakala
34,all (entire quantity/duration),determiner,a1,N/A,എല്ലാ / മുഴുവൻ / സകല,ellā / muḻuvan / sakala
35,"all (people, everyone)",pronoun,a1,N/A,എല്ലാവരും / സകലരും,ellāvaruṁ / sakalaruṁ
36,also,adverb,a1,N/A,കൂടാതെ / അതുപോലെ / പിന്നെ,kūṭāte / atupōle / pinne
37,always (at all times),adverb,a1,N/A,എപ്പോഴും / സദാ / നിരന്തരം,eppōḻuṁ / sadā / nirantaraṁ
38,"always (continuous state, stylistic)",adverb,a1,N/A,എപ്പോഴും / സദാ / നിരന്തരം,eppōḻuṁ / sadā / nirantaraṁ
39,"amazing (spectacular, awe-inspiring)",adjective,a1,N/A,അതിശയകരമായ / വിസ്മയകരമായ / അമ്പരപ്പിക്കുന്ന,atiśayakaramāya / vismayakaramāya / amparappikkunna
40,"amazing (wonderful, great)",adjective,a1,N/A,ഗംഭീരമായ / മനോഹരമായ / അതിശയകരമായ,gaṁbhīramāya / manōharamāya / atiśayakaramāya
41,and (general linking),conjunction,a1,N/A,ഉം / കൂടാതെ / ഒപ്പം,uṁ / kūṭāte / oppaṁ
42,angrily,adverb,a1,N/A,ദേഷ്യത്തോടെ / കോപത്തോടെ / രോഷത്തോടെ,dēṣyattōṭe / kōpattōṭe / rōṣattōṭe
43,"angry (common, annoyed)",adjective,a1,N/A,ദേഷ്യമുള്ള / കോപിഷ്ഠനായ,dēṣyamuḷḷa / kōpiṣṭhanāya
44,another,determiner,a1,N/A,മറ്റൊരു / വേറൊരു / ഇനിയൊരു,maṟṟoru / vēṟoru / iniyoru
45,another (a different one),pronoun,a1,N/A,മറ്റൊന്ന് / വേറൊന്ന്,maṟṟonn / vēṟonn
46,another (one more),pronoun,a1,N/A,ഒന്നുകൂടി / ഇനിയൊന്ന്,onnukūṭi / iniyonn
47,"another (unspecified thing, item)",determiner,a1,N/A,മറ്റൊരു / വേറൊരു,maṟṟoru / vēṟoru
48,answer,noun,a1,N/A,ഉത്തരം / മറുപടി,uttaraṁ / maṟupaṭi
49,"any (choice, universal)",determiner,a1,N/A,ഏതെങ്കിലും / ഏതൊരു,ēteṅkiluṁ / ētoru
50,any (general selection),pronoun,a1,nan,ഏതെങ്കിലും / ഏതൊന്ന്,ēteṅkiluṁ / ētonn
51,"any (in questions, negatives)",determiner,a1,nan,ഏതെങ്കിലും / യാതൊരു,ēteṅkiluṁ / yātoru
52,any (indefinite quantity),determiner,a1,nan,ഏതാനും / കുറച്ച് / ഏതെങ്കിലും,ētānuṁ / kuṟacc / ēteṅkiluṁ
53,"any (item, choice)",pronoun,a1,nan,ഏതെങ്കിലും / ഏതൊന്ന്,ēteṅkiluṁ / ētonn
54,"any (some, if)",pronoun,a1,nan,ഏതെങ്കിലും / വല്ലതും,ēteṅkiluṁ / vallatuṁ
55,"any (universal choice, usually in context)",determiner,a1,nan,ഏതൊരു / ഏതെങ്കിലും,ētoru / ēteṅkiluṁ
56,any (zero quantity),pronoun,a1,nan,ഒന്നും / യാതൊന്നും,onnuṁ / yātonnuṁ
57,"any (zero quantity, with negative verb)",pronoun,a1,nan,ഒന്നും / യാതൊന്നും,onnuṁ / yātonnuṁ
58,"anyone (any person, affirmative)",pronoun,a1,nan,ആരെങ്കിലും / ഏതൊരാൾ,āreṅkiluṁ / ētorāḷ
59,"anyone (in questions, negatives)",pronoun,a1,nan,ആരെങ്കിലും / ആരും,āreṅkiluṁ / āruṁ
60,"anything (thing, object, general indefinite)",pronoun,a1,nan,എന്തെങ്കിലും / വല്ലതും,enteṅkiluṁ / vallatuṁ
61,anything (whatever the choice),pronoun,a1,nan,എന്തും / എന്തെങ്കിലും,entuṁ / enteṅkiluṁ
62,apartment,noun,a1,nan,അപ്പാർട്ട്മെന്റ് / ഫ്ലാറ്റ്,appārṭṭmenṟ / phlāṟṟ
63,apple,noun,a1,nan,ആപ്പിൾ,āppiḷ
64,april,noun,a1,nan,ഏപ്രിൽ,ēpril
65,area (measurement),noun,a1,nan,വിസ്തീർണ്ണം / പ്രദേശം / സ്ഥലം,vistīrṇṇaṁ / pradēśaṁ / sthalaṁ
66,around (approximate time or quantity),preposition,a1,nan,ഏകദേശം / ഏതാണ്ട്,ēkadēśaṁ / ētāṇṭ
67,around (approximately),adverb,a1,nan,ഏകദേശം / ഏതാണ്ട്,ēkadēśaṁ / ētāṇṭ
68,"around (movement, periphery)",adverb,a1,nan,ചുറ്റും / ചുറ്റിനും,cuṟṟuṁ / cuṟṟinuṁ
69,around (nearby or in the vicinity),preposition,a1,nan,അടുത്ത് / സമീപം / ചുറ്റുവട്ടം,aṭutt / samīpaṁ / cuṟṟuvaṭṭaṁ
70,"around (nearby, in the vicinity)",adverb,a1,nan,അടുത്ത് / സമീപം / ചുറ്റുവട്ടം,aṭutt / samīpaṁ / cuṟṟuvaṭṭaṁ
71,around (surrounding something or moving in a circle),preposition,a1,nan,ചുറ്റും / ചുറ്റിനും / വലംവെച്ച്,cuṟṟuṁ / cuṟṟinuṁ / valaṁvecc
72,arrow (projectile),noun,a1,nan,അമ്പ് / ശരം,amp / śaraṁ
73,art (skill or technique),noun,a1,nan,കല / വിദ്യ / വൈദഗ്ദ്ധ്യം,kala / vidya / vaidagddhyaṁ
74,article (object),noun,a1,nan,വസ്തു / സാധനം / ഉൽപ്പന്നം,vastu / sādhanaṁ / ulppannaṁ
75,article (writing),noun,a1,nan,ലേഖനം / പഠനം / പ്രബന്ധം,lēkhanaṁ / paṭhanaṁ / prabandhaṁ
76,"artist (performer, general artiste)",noun,a1,nan,കലാകാരൻ / ആർട്ടിസ്റ്റ്,kalākāran / ārṭṭisṟṟ
77,"artist (visual creator, e.g., painter)",noun,a1,nan,ചിത്രകാരൻ / കലാകാരൻ / ആർട്ടിസ്റ്റ്,citrakāran / kalākāran / ārṭṭisṟṟ
78,as (in the role of),preposition,a1,nan,ആയി,āyi
79,"as (like, in the manner of)",preposition,a1,nan,പോലെ,pōle
80,asleep (in slumber),adjective,a1,nan,ഉറങ്ങുന്ന,uṟaṅṅunna
81,"at (target, direction)",preposition,a1,nan,ലേക്ക് / -ൽ,lēkk / -l
82,"at (time, moment)",preposition,a1,nan,-ൽ,-l
83,august,noun,a1,nan,ഓഗസ്റ്റ്,ōgasṟṟ
84,aunt (father's sister),noun,a1,nan,അമ്മായി,ammāyi
85,aunt (mother's elder sister),noun,a1,nan,മൂത്തമ്മ,mūttamma
86,aunt (mother's younger sister),noun,a1,nan,ഇളയമ്മ,iḷayamma
87,auto (common usage),noun,a1,nan,ഓട്ടോ,ōṭṭō
88,autumn,noun,a1,nan,ശരത്കാലം,śaratkālaṁ
89,away (distance or absence),adverb,a1,nan,ദൂരെ,dūre
90,away (into storage or hiding),adverb,a1,nan,മാറ്റി / അകറ്റി,māṟṟi / akaṟṟi
91,baby,noun,a1,nan,കുഞ്ഞ് / ശിശു,kuññ / śiśu
92,baby (term of endearment),noun,a1,nan,പൊന്നേ / കണ്ണാ,ponnē / kaṇṇā
93,back,adverb,a1,nan,തിരികെ / പിന്നോട്ട്,tirike / pinnōṭṭ
94,back (rear side),noun,a1,nan,പുറം / പിൻഭാഗം,puṟaṁ / pinbhāgaṁ
95,"bad (sick, unwell)",adjective,a1,nan,വയ്യാത്ത / രോഗിയായ,vayyātta / rōgiyāya
96,ball,noun,a1,nan,പന്ത്,pant
97,"banana (unripe, raw)",noun,a1,nan,കായ,kāya
98,band (musical group),noun,a1,nan,ബാൻഡ് / സംഗീത സംഘം,bānḍ / saṁgīta saṁghaṁ
99,"bank (river, lake)",noun,a1,nan,കര / തീരം / വക്ക്,kara / tīraṁ / vakk
100,bath,noun,a1,nan,കുളി / സ്നാനം,kuḷi / snānaṁ
101,beach,noun,a1,nan,കടൽത്തീരം / സമുദ്രതീരം,kaṭalttīraṁ / samudratīraṁ
102,beautiful,adjective,a1,nan,ഭംഗിയുള്ള / സുന്ദരമായ,bhaṁgiyuḷḷa / sundaramāya
103,because (clause connector),conjunction,a1,nan,കാരണം,kāraṇaṁ
104,"because of (a noun, reason)",conjunction,a1,nan,കാരണം / നിമിത്തം,kāraṇaṁ / nimittaṁ
105,bed (planting area),noun,a1,nan,തടം,taṭaṁ
106,bedroom,noun,a1,nan,കിടപ്പുമുറി,kiṭappumuṟi
107,beer,noun,a1,nan,ബിയർ,biyar
108,before (time),preposition,a1,nan,മുമ്പ് / പൂർവ്വം,mump / pūrvvaṁ
109,behind (at the rear),preposition,a1,nan,പിന്നിൽ,pinnil
110,behind (delayed or late),adverb,a1,nan,വൈകി,vaiki
111,behind (remaining or lagging),preposition,a1,nan,പിന്നിൽ,pinnil
112,below (in a document or list),adverb,a1,nan,താഴെ,tāḻe
113,below (less than a standard/value),preposition,a1,nan,താഴെ / കുറവ്,tāḻe / kuṟav
114,below (less than),preposition,a1,nan,താഴെ / കുറവ്,tāḻe / kuṟav
115,below (spatially),preposition,a1,nan,താഴെ / കീഴിൽ,tāḻe / kīḻil
116,better (in health),adjective,a1,nan,ഭേദം / സുഖം,bhēdaṁ / sukhaṁ
117,between,preposition,a1,nan,ഇടയിൽ / മദ്ധ്യേ,iṭayil / maddhyē
118,big,adjective,a1,nan,വലിയ / വലുത് / ബൃഹത്തായ,valiya / valut / br̥hattāya
119,bike (bicycle),noun,a1,nan,സൈക്കിൾ / ബൈക്ക്,saikkiḷ / baikk
120,bill (bird's beak),noun,a1,nan,കൊക്ക് / ചുണ്ട്,kokk / cuṇṭ
121,bill (invoice),noun,a1,nan,ബിൽ / രസീത് / കണക്ക്,bil / rasīt / kaṇakk
122,bird (common),noun,a1,nan,പക്ഷി / കിളി,pakṣi / kiḷi
123,"bird (general, formal)",noun,a1,nan,പക്ഷി / വിഹഗം,pakṣi / vihagaṁ
124,birthday,noun,a1,nan,ജന്മദിനം / പിറന്നാൾ,janmadinaṁ / piṟannāḷ
125,black (color),noun,a1,nan,കറുപ്പ് / കൃഷ്ണം,kaṟupp / kr̥ṣṇaṁ
126,blog,noun,a1,nan,ബ്ലോഗ്,blōg
127,blonde,adjective,a1,nan,സ്വർണ്ണനിറമുള്ള / ഇളംമഞ്ഞനിറമുള്ള,svarṇṇaniṟamuḷḷa / iḷaṁmaññaniṟamuḷḷa
128,blue,noun,a1,nan,നീല,nīla
129,boat,noun,a1,nan,വഞ്ചി / തോണി,vañci / tōṇi
130,body,noun,a1,nan,ശരീരം / ദേഹം / ഉടൽ,śarīraṁ / dēhaṁ / uṭal
131,book,noun,a1,nan,പുസ്തകം / ഗ്രന്ഥം,pustakaṁ / granthaṁ
132,boot,noun,a1,nan,ബൂട്ട്,būṭṭ
133,bored,adjective,a1,nan,വിരസത തോന്നുന്ന / മടുപ്പുള്ള,virasata tōnnunna / maṭuppuḷḷa
134,"boring (tedious, dull)",adjective,a1,nan,വിരസമായ / മടുപ്പിക്കുന്ന,virasamāya / maṭuppikkunna
135,both (modifying a noun),pronoun,a1,nan,രണ്ടും / രണ്ട്,raṇṭuṁ / raṇṭ
136,both (people),determiner,a1,nan,ഇരുവരും / രണ്ടാളും,iruvaruṁ / raṇṭāḷuṁ
137,bottle,noun,a1,nan,കുപ്പി,kuppi
138,box,noun,a1,nan,പെട്ടി / പേടകം,peṭṭi / pēṭakaṁ
139,boy,noun,a1,nan,ആൺകുട്ടി / കുട്ടി / ബാലൻ,āṇkuṭṭi / kuṭṭi / bālan
140,"boyfriend (casual, direct usage)",noun,a1,nan,ബോയ്ഫ്രണ്ട്,bōyphraṇṭ
141,boyfriend (general),noun,a1,nan,ബോയ്ഫ്രണ്ട് / കാമുകൻ / കൂട്ടുകാരൻ,bōyphraṇṭ / kāmukan / kūṭṭukāran
142,bread,noun,a1,nan,റൊട്ടി / ബ്രെഡ്,ṟoṭṭi / breḍ
143,bread (flatbread/roti),noun,a1,nan,റൊട്ടി / ചപ്പാത്തി,ṟoṭṭi / cappātti
144,"bread (general flatbread, roti)",noun,a1,nan,റൊട്ടി,ṟoṭṭi
145,bread (Western style),noun,a1,nan,ബ്രെഡ് / പാവ്,breḍ / pāv
146,break (rest period),noun,a1,nan,ഇടവേള / വിശ്രമം,iṭavēḷa / viśramaṁ
147,breakfast (common),noun,a1,nan,പ്രഭാതഭക്ഷണം / ബ്രേക്ക്ഫാസ്റ്റ്,prabhātabhakṣaṇaṁ / brēkkphāsṟṟ
148,breakfast (formal),noun,a1,nan,പ്രഭാതഭക്ഷണം,prabhātabhakṣaṇaṁ
149,brother (elder),noun,a1,nan,ചേട്ടൻ / ജ്യേഷ്ഠൻ,cēṭṭan / jyēṣṭhan
175,car,noun,a1,N/A,കാർ / വാഹനം,kār / vāhanaṁ
176,"card (greeting, post)",noun,a1,N/A,കാർഡ് / ആശംസാകാർഡ്,kārḍ / āśaṁsākārḍ
177,"card (ID, Bank)",noun,a1,N/A,കാർഡ്,kārḍ
178,career,noun,a1,N/A,കരിയർ / തൊഴിൽ / ജീവിതവൃത്തി,kariyar / toḻil / jīvitavr̥tti
179,carrot,noun,a1,N/A,കാരറ്റ്,kāraṟṟ
180,cat,noun,a1,N/A,പൂച്ച,pūcca
181,cd,noun,a1,N/A,സിഡി,siḍi
182,cent (unit of land area),noun,a1,N/A,സെന്റ്,senṟ
183,"centre (institution, hub)",noun,a1,N/A,കേന്ദ്രം / സെന്റർ,kēndraṁ / senṟar
184,century (100 years),noun,a1,N/A,നൂറ്റാണ്ട് / ശതാബ്ദം,nūṟṟāṇṭ / śatābdaṁ
185,century (cricket score),noun,a1,N/A,സെഞ്ച്വറി,señcvaṟi
186,change (alteration),noun,a1,N/A,മാറ്റം / ഭേദം,māṟṟaṁ / bhēdaṁ
187,change (money remainder),noun,a1,N/A,ചില്ലറ / ബാക്കി,cillaṟa / bākki
188,chart (map for navigation),noun,a1,N/A,ചാർട്ട് / ഭൂപടം,cārṭṭ / bhūpaṭaṁ
189,cheap (low cost),adjective,a1,N/A,വിലകുറഞ്ഞ / കുറഞ്ഞ വിലയുള്ള,vilakuṟañña / kuṟañña vilayuḷḷa
190,cheap (low quality),adjective,a1,N/A,നിലവാരം കുറഞ്ഞ / മോശം,nilavāraṁ kuṟañña / mōśaṁ
191,"cheap (stingy, miserly)",adjective,a1,N/A,പിശുക്കൻ / പിശുക്കുള്ള,piśukkan / piśukkuḷḷa
192,cheese,noun,a1,N/A,ചീസ്,cīs
193,chicken (animal),noun,a1,N/A,കോഴി,kōḻi
194,chicken (meat),noun,a1,N/A,കോഴിയിറച്ചി,kōḻiyiṟacci
195,chocolate,noun,a1,N/A,ചോക്ലേറ്റ്,cōklēṟṟ
196,city,noun,a1,N/A,നഗരം / പട്ടണം,nagaraṁ / paṭṭaṇaṁ
197,class (category/type),noun,a1,N/A,വർഗ്ഗം / തരം / വിഭാഗം,varggaṁ / taraṁ / vibhāgaṁ
198,class (grade level),noun,a1,N/A,ക്ലാസ് / തരം,klās / taraṁ
199,"class (lesson, session)",noun,a1,N/A,ക്ലാസ് / പാഠം,klās / pāṭhaṁ
200,class (social stratum),noun,a1,nan,വർഗ്ഗം / തരം / നില,varggaṁ / taraṁ / nila
201,classroom,noun,a1,nan,ക്ലാസ്സ്മുറി / പഠനമുറി,klāssmuṟi / paṭhanamuṟi
202,clock (wall or desk timepiece),noun,a1,nan,ക്ലോക്ക് / ഘടികാരം,klōkk / ghaṭikāraṁ
203,"clothes (garments, apparel)",noun,a1,nan,വസ്ത്രം / ഉടുപ്പ് / വേഷം,vastraṁ / uṭupp / vēṣaṁ
204,club (organization),noun,a1,nan,ക്ലബ്ബ് / സംഘം / സമിതി,klabb / saṁghaṁ / samiti
205,club (venue),noun,a1,nan,ക്ലബ്ബ് / നൈറ്റ്ക്ലബ്ബ്,klabb / naiṟṟklabb
206,coffee,noun,a1,nan,കാപ്പി,kāppi
207,"cold (cool, refreshing)",adjective,a1,nan,തണുത്ത / കുളിരുള്ള,taṇutta / kuḷiruḷḷa
208,cold (illness),noun,a1,nan,ജലദോഷം / പനി,jaladōṣaṁ / pani
209,cold (low temperature),noun,a1,nan,തണുപ്പ് / ശീതം,taṇupp / śītaṁ
210,"cold (temperature, unpleasant)",adjective,a1,nan,തണുത്ത / ശീതമുള്ള,taṇutta / śītamuḷḷa
211,college,noun,a1,nan,കോളേജ് / കലാലയം,kōḷēj / kalālayaṁ
212,colour,noun,a1,nan,നിറം / വർണ്ണം,niṟaṁ / varṇṇaṁ
213,"common (general, frequent)",adjective,a1,nan,സാധാരണ / പൊതുവായ,sādhāraṇa / potuvāya
214,"common (shared, joint)",adjective,a1,nan,പൊതുവായ / സംയുക്തമായ,potuvāya / saṁyuktamāya
215,company (business entity),noun,a1,nan,കമ്പനി / സ്ഥാപനം / വ്യവസായ സ്ഥാപനം,kampani / sthāpanaṁ / vyavasāya sthāpanaṁ
216,"company (companionship, guests)",noun,a1,nan,കൂട്ടായ്മ / അതിഥി / സഹവാസം,kūṭṭāyma / atithi / sahavāsaṁ
217,"complete (total, entire)",adjective,a1,nan,പൂർണ്ണമായ / മുഴുവൻ,pūrṇṇamāya / muḻuvan
218,computer,noun,a1,nan,കമ്പ്യൂട്ടർ / ഗണകം,kampyūṭṭar / gaṇakaṁ
219,concert,noun,a1,nan,സംഗീത പരിപാടി / കൺസേർട്ട് / കച്ചേരി,saṁgīta paripāṭi / kaṇsērṭṭ / kaccēri
220,conversation (casual chat),noun,a1,nan,സംഭാഷണം / വർത്തമാനം / കുശലം,saṁbhāṣaṇaṁ / varttamānaṁ / kuśalaṁ
221,cooking,noun,a1,nan,പാചകം / പാചകം ചെയ്യൽ,pācakaṁ / pācakaṁ ceyyal
222,cool (moderately cold),adjective,a1,nan,തണുത്ത / കുളിരുള്ള,taṇutta / kuḷiruḷḷa
223,correct,adjective,a1,nan,ശരിയായ / ശരി / കൃത്യമായ,śariyāya / śari / kr̥tyamāya
224,"cost (expenditure, expense)",noun,a1,nan,വില / ചെലവ് / ചിലവ്,vila / celav / cilav
225,"cost (price, monetary value)",noun,a1,nan,വില / ചെലവ് / മൂല്യം,vila / celav / mūlyaṁ
226,could (past ability),modal verb,a1,nan,കഴിയുക,kaḻiyuka
227,could (polite request),modal verb,a1,nan,കഴിയുക,kaḻiyuka
228,could (possibility),modal verb,a1,nan,സാധിക്കുക / കഴിയുക,sādhikkuka / kaḻiyuka
229,country (nation),noun,a1,nan,രാജ്യം / ദേശം,rājyaṁ / dēśaṁ
230,country (rural area),noun,a1,nan,ഗ്രാമം / നാട്,grāmaṁ / nāṭ
231,course (meal),noun,a1,nan,വിഭവം,vibhavaṁ
232,course (of study),noun,a1,nan,കോഴ്സ് / പഠനപദ്ധതി / പാഠ്യപദ്ധതി,kōḻs / paṭhanapaddhati / pāṭhyapaddhati
233,"cousin (female, parallel cousin)",noun,a1,nan,കസിൻ,kasin
234,"cousin (male, parallel cousin)",noun,a1,nan,കസിൻ,kasin
235,cow,noun,a1,nan,പശു / ഗോവ്,paśu / gōv
236,cream (lotion or ointment),noun,a1,nan,ക്രീം / ലേപനം / തൈലം,krīṁ / lēpanaṁ / tailaṁ
237,culture,noun,a1,nan,സംസ്കാരം,saṁskāraṁ
238,cup,noun,a1,nan,കപ്പ് / പാത്രം / കോപ്പ,kapp / pātraṁ / kōppa
239,cup (loanword),noun,a1,nan,കപ്പ്,kapp
240,customer,noun,a1,nan,ഉപഭോക്താവ് / കസ്റ്റമർ / വാങ്ങുന്നയാൾ,upabhōktāv / kasṟṟamar / vāṅṅunnayāḷ
241,cycle (vehicle),noun,a1,nan,സൈക്കിൾ,saikkiḷ
242,dad,noun,a1,nan,അച്ഛൻ / പിതാവ്,acchan / pitāv
243,dad (common spoken),noun,a1,nan,അച്ഛാ / പപ്പ / ഡാഡി,acchā / pappa / ḍāḍi
244,dancer (female),noun,a1,nan,നർത്തകി,narttaki
245,dancer (male),noun,a1,nan,നർത്തകൻ,narttakan
246,dancing (general act),noun,a1,nan,നൃത്തം / ഡാൻസ്,nr̥ttaṁ / ḍāns
247,"dancing (performance, classical)",noun,a1,nan,നൃത്തം,nr̥ttaṁ
248,dangerous,adjective,a1,nan,അപകടകരമായ / ഭയങ്കരമായ,apakaṭakaramāya / bhayaṅkaramāya
249,dark (deep in color),adjective,a1,nan,കറുത്ത / ഇരുണ്ട,kaṟutta / iruṇṭa
250,date (calendar time),noun,a1,nan,തീയതി / ദിനാങ്കം,tīyati / dināṅkaṁ
251,date (fruit),noun,a1,nan,ഈന്തപ്പഴം,īntappaḻaṁ
252,daughter,noun,a1,nan,മകൾ / പുത്രി,makaḷ / putri
253,day (24-hour period),noun,a1,nan,ദിവസം / ദിനം,divasaṁ / dinaṁ
254,"day (daytime, light period)",noun,a1,nan,പകൽ,pakal
255,"dear (addressing someone in speech, writing)",adjective,a1,nan,പ്രിയ / പ്രിയപ്പെട്ട,priya / priyappeṭṭa
256,dear (beloved),adjective,a1,nan,പ്രിയപ്പെട്ട / വാത്സല്യമുള്ള / ഇഷ്ടപ്പെട്ട,priyappeṭṭa / vātsalyamuḷḷa / iṣṭappeṭṭa
257,december,noun,a1,nan,ഡിസംബർ,ḍisaṁbar
258,decision (common choice),noun,a1,nan,തീരുമാനം / നിശ്ചയം,tīrumānaṁ / niścayaṁ
259,description,noun,a1,nan,വിവരണം / വർണ്ണന,vivaraṇaṁ / varṇṇana
260,"design (pattern, style)",noun,a1,nan,രൂപകൽപ്പന / ഡിസൈൻ,rūpakalppana / ḍisain
261,"design (plan, structure)",noun,a1,nan,രൂപകൽപ്പന / പദ്ധതി / ഘടന,rūpakalppana / paddhati / ghaṭana
262,desk,noun,a1,nan,ഡെസ്ക് / മേശ,ḍesk / mēśa
263,detail,noun,a1,nan,വിശദാംശം / വിവരം,viśadāṁśaṁ / vivaraṁ
264,"dialogue (script, film)",noun,a1,nan,സംഭാഷണം / ഡയലോഗ്,saṁbhāṣaṇaṁ / ḍayalōg
265,dictionary,noun,a1,nan,നിഘണ്ടു / ഡിക്ഷണറി,nighaṇṭu / ḍikṣaṇaṟi
266,diet (restrictive eating plan),noun,a1,nan,ആഹാരക്രമം / ഡയറ്റ്,āhārakramaṁ / ḍayaṟṟ
267,difference,noun,a1,nan,വ്യത്യാസം / ഭിന്നത,vyatyāsaṁ / bhinnata
268,dinner,noun,a1,nan,അത്താഴം / രാത്രിഭക്ഷണം,attāḻaṁ / rātribhakṣaṇaṁ
269,"dish (plate, container)",noun,a1,nan,പാത്രം / പ്ലേറ്റ്,pātraṁ / plēṟṟ
270,dish (prepared food),noun,a1,nan,വിഭവം / കറി,vibhavaṁ / kaṟi
271,dog,noun,a1,nan,നായ / ശ്വാവ്,nāya / śvāv
272,dollar,noun,a1,nan,ഡോളർ,ḍōḷar
273,door,noun,a1,nan,വാതിൽ,vātil
274,down,preposition,a1,nan,താഴെ / അടിയിൽ,tāḻe / aṭiyil
275,"down (emotionally, sad)",adverb,a1,nan,വിഷാദത്തോടെ / ദുഃഖിതനായി,viṣādattōṭe / duḥkhitanāyi
276,downstairs (location),adverb,a1,nan,താഴെ / താഴത്തെ നിലയിൽ,tāḻe / tāḻatte nilayil
277,dress (clothing),noun,a1,nan,വസ്ത്രം / ഉടുപ്പ്,vastraṁ / uṭupp
278,"dress (clothing, attire)",noun,a1,nan,വസ്ത്രം / ഉടുപ്പ് / വേഷം,vastraṁ / uṭupp / vēṣaṁ
279,dress (frock or gown),noun,a1,nan,ഡ്രസ്സ് / ഉടുപ്പ് / ഗൗൺ,ḍrass / uṭupp / gauṇ
