english_word,word_class,malayalam_translation,transliteration,verb_transitivity,level
"around (nearby, in the vicinity)",adverb,അടുത്ത് / സമീപം / ചുറ്റുവട്ടം,aṭutt / samīpaṁ / cuṟṟuvaṭṭaṁ,,a1
around (surrounding something or moving in a circle),preposition,ചുറ്റും / ചുറ്റിനും / വലംവെച്ച്,cuṟṟuṁ / cuṟṟinuṁ / valaṁvecc,,a1
arrow (projectile),noun,അമ്പ് / ശരം,amp / śaraṁ,,a1
art (skill or technique),noun,കല / വിദ്യ / വൈദഗ്ദ്ധ്യം,kala / vidya / vaidagddhyaṁ,,a1
article (object),noun,വസ്തു / സാധനം / ഉൽപ്പന്നം,vastu / sādhanaṁ / ulppannaṁ,,a1
article (writing),noun,ലേഖനം / പഠനം / പ്രബന്ധം,lēkhanaṁ / paṭhanaṁ / prabandhaṁ,,a1
"artist (performer, general artiste)",noun,കലാകാരൻ / ആർട്ടിസ്റ്റ്,kalākāran / ārṭṭisṟṟ,,a1
"artist (visual creator, e.g., painter)",noun,ചിത്രകാരൻ / കലാകാരൻ / ആർട്ടിസ്റ്റ്,citrakāran / kalākāran / ārṭṭisṟṟ,,a1
as (in the role of),preposition,ആയി,āyi,,a1
"as (like, in the manner of)",preposition,പോലെ,pōle,,a1
asleep (in slumber),adjective,ഉറങ്ങുന്ന,uṟaṅṅunna,,a1
"at (target, direction)",preposition,ലേക്ക് / -ൽ,lēkk / -l,,a1
"at (time, moment)",preposition,-ൽ,-l,,a1
august,noun,ഓഗസ്റ്റ്,ōgasṟṟ,,a1
aunt (father's sister),noun,അമ്മായി,ammāyi,,a1
aunt (mother's elder sister),noun,മൂത്തമ്മ,mūttamma,,a1
aunt (mother's younger sister),noun,ഇളയമ്മ,iḷayamma,,a1
auto (common usage),noun,ഓട്ടോ,ōṭṭō,,a1
autumn,noun,ശരത്കാലം,śaratkālaṁ,,a1
away (distance or absence),adverb,ദൂരെ,dūre,,a1
away (into storage or hiding),adverb,മാറ്റി / അകറ്റി,māṟṟi / akaṟṟi,,a1
baby,noun,കുഞ്ഞ് / ശിശു,kuññ / śiśu,,a1
baby (term of endearment),noun,പൊന്നേ / കണ്ണാ,ponnē / kaṇṇā,,a1
back,adverb,തിരികെ / പിന്നോട്ട്,tirike / pinnōṭṭ,,a1
back (rear side),noun,പുറം / പിൻഭാഗം,puṟaṁ / pinbhāgaṁ,,a1
"bad (sick, unwell)",adjective,വയ്യാത്ത / രോഗിയായ,vayyātta / rōgiyāya,,a1
ball,noun,പന്ത്,pant,,a1
"banana (unripe, raw)",noun,കായ,kāya,,a1
band (musical group),noun,ബാൻഡ് / സംഗീത സംഘം,bānḍ / saṁgīta saṁghaṁ,,a1
"bank (river, lake)",noun,കര / തീരം / വക്ക്,kara / tīraṁ / vakk,,a1
bath,noun,കുളി / സ്നാനം,kuḷi / snānaṁ,,a1
beach,noun,കടൽത്തീരം / സമുദ്രതീരം,kaṭalttīraṁ / samudratīraṁ,,a1
beautiful,adjective,ഭംഗിയുള്ള / സുന്ദരമായ,bhaṁgiyuḷḷa / sundaramāya,,a1
because (clause connector),conjunction,കാരണം,kāraṇaṁ,,a1
"because of (a noun, reason)",conjunction,കാരണം / നിമിത്തം,kāraṇaṁ / nimittaṁ,,a1
bed (planting area),noun,തടം,taṭaṁ,,a1
bedroom,noun,കിടപ്പുമുറി,kiṭappumuṟi,,a1
beer,noun,ബിയർ,biyar,,a1
before (time),preposition,മുമ്പ് / പൂർവ്വം,mump / pūrvvaṁ,,a1
behind (at the rear),preposition,പിന്നിൽ,pinnil,,a1
behind (delayed or late),adverb,വൈകി,vaiki,,a1
behind (remaining or lagging),preposition,പിന്നിൽ,pinnil,,a1
below (in a document or list),adverb,താഴെ,tāḻe,,a1
below (less than a standard/value),preposition,താഴെ / കുറവ്,tāḻe / kuṟav,,a1
below (less than),preposition,താഴെ / കുറവ്,tāḻe / kuṟav,,a1
below (spatially),preposition,താഴെ / കീഴിൽ,tāḻe / kīḻil,,a1
better (in health),adjective,ഭേദം / സുഖം,bhēdaṁ / sukhaṁ,,a1
between,preposition,ഇടയിൽ / മദ്ധ്യേ,iṭayil / maddhyē,,a1
big,adjective,വലിയ / വലുത് / ബൃഹത്തായ,valiya / valut / br̥hattāya,,a1
bike (bicycle),noun,സൈക്കിൾ / ബൈക്ക്,saikkiḷ / baikk,,a1
bill (bird's beak),noun,കൊക്ക് / ചുണ്ട്,kokk / cuṇṭ,,a1
bill (invoice),noun,ബിൽ / രസീത് / കണക്ക്,bil / rasīt / kaṇakk,,a1
bird (common),noun,പക്ഷി / കിളി,pakṣi / kiḷi,,a1
"bird (general, formal)",noun,പക്ഷി / വിഹഗം,pakṣi / vihagaṁ,,a1
birthday,noun,ജന്മദിനം / പിറന്നാൾ,janmadinaṁ / piṟannāḷ,,a1
black (color),noun,കറുപ്പ് / കൃഷ്ണം,kaṟupp / kr̥ṣṇaṁ,,a1
blog,noun,ബ്ലോഗ്,blōg,,a1
blonde,adjective,സ്വർണ്ണനിറമുള്ള / ഇളംമഞ്ഞനിറമുള്ള,svarṇṇaniṟamuḷḷa / iḷaṁmaññaniṟamuḷḷa,,a1
blue,noun,നീല,nīla,,a1
boat,noun,വഞ്ചി / തോണി,vañci / tōṇi,,a1
body,noun,ശരീരം / ദേഹം / ഉടൽ,śarīraṁ / dēhaṁ / uṭal,,a1
book,noun,പുസ്തകം / ഗ്രന്ഥം,pustakaṁ / granthaṁ,,a1
boot,noun,ബൂട്ട്,būṭṭ,,a1
bored,adjective,വിരസത തോന്നുന്ന / മടുപ്പുള്ള,virasata tōnnunna / maṭuppuḷḷa,,a1
"boring (tedious, dull)",adjective,വിരസമായ / മടുപ്പിക്കുന്ന,virasamāya / maṭuppikkunna,,a1
both (modifying a noun),pronoun,രണ്ടും / രണ്ട്,raṇṭuṁ / raṇṭ,,a1
both (people),determiner,ഇരുവരും / രണ്ടാളും,iruvaruṁ / raṇṭāḷuṁ,,a1
bottle,noun,കുപ്പി,kuppi,,a1
box,noun,പെട്ടി / പേടകം,peṭṭi / pēṭakaṁ,,a1
boy,noun,ആൺകുട്ടി / കുട്ടി / ബാലൻ,āṇkuṭṭi / kuṭṭi / bālan,,a1
"boyfriend (casual, direct usage)",noun,ബോയ്ഫ്രണ്ട്,bōyphraṇṭ,,a1
boyfriend (general),noun,ബോയ്ഫ്രണ്ട് / കാമുകൻ / കൂട്ടുകാരൻ,bōyphraṇṭ / kāmukan / kūṭṭukāran,,a1
bread,noun,റൊട്ടി / ബ്രെഡ്,ṟoṭṭi / breḍ,,a1
bread (flatbread/roti),noun,റൊട്ടി / ചപ്പാത്തി,ṟoṭṭi / cappātti,,a1
"bread (general flatbread, roti)",noun,റൊട്ടി,ṟoṭṭi,,a1
bread (Western style),noun,ബ്രെഡ് / പാവ്,breḍ / pāv,,a1
break (rest period),noun,ഇടവേള / വിശ്രമം,iṭavēḷa / viśramaṁ,,a1
breakfast (common),noun,പ്രഭാതഭക്ഷണം / ബ്രേക്ക്ഫാസ്റ്റ്,prabhātabhakṣaṇaṁ / brēkkphāsṟṟ,,a1
breakfast (formal),noun,പ്രഭാതഭക്ഷണം,prabhātabhakṣaṇaṁ,,a1
brother (elder),noun,ചേട്ടൻ / ജ്യേഷ്ഠൻ,cēṭṭan / jyēṣṭhan,,a1
brother (younger),noun,അനുജൻ / തമ്പി / സഹോദരൻ,anujan / tampi / sahōdaran,,a1
brown,noun,തവിട്ടുനിറം / കാവൽനിറം,taviṭṭuniṟaṁ / kāvalniṟaṁ,,a1
brown (adjective),noun,തവിട്ടുനിറമുള്ള / കാവൽനിറമുള്ള,taviṭṭuniṟamuḷḷa / kāvalniṟamuḷḷa,,a1
building,noun,കെട്ടിടം / സൗധം / മന്ദിരം,keṭṭiṭaṁ / saudhaṁ / mandiraṁ,,a1
bus,noun,ബസ്,bas,,a1
"business (commercial enterprise, trade)",noun,വ്യാപാരം / കച്ചവടം / ബിസിനസ് / സംരംഭം,vyāpāraṁ / kaccavaṭaṁ / bisinas / saṁraṁbhaṁ,,a1
"busy (crowded, bustling)",adjective,തിരക്കുള്ള / ജനത്തിരക്കുള്ള,tirakkuḷḷa / janattirakkuḷḷa,,a1
busy (telephone line engaged),adjective,തിരക്കിലാണ് / എൻഗേജ്ഡ്,tirakkilāṇ / engējḍ,,a1
by (deadline),preposition,മുമ്പ് / ഉള്ളിൽ,mump / uḷḷil,,a1
by (means of),preposition,വഴി / ഉപയോഗിച്ച്,vaḻi / upayōgicc,,a1
"by (near, beside)",preposition,അടുത്ത് / അരികിൽ / സമീപം,aṭutt / arikil / samīpaṁ,,a1
bye (casual),noun,ബൈ / വിട,bai / viṭa,,a1
bye (polite parting),exclamation,പോയിവരാം / യാത്ര / നമസ്കാരം,pōyivarāṁ / yātra / namaskāraṁ,,a1
cafe,noun,കഫേ / കാപ്പിക്കട / ചായക്കട,kaphē / kāppikkaṭa / cāyakkaṭa,,a1
cake,noun,കേക്ക്,kēkk,,a1
"call (shout, cry)",noun,വിളി / കൂവൽ / ആർപ്പുവിളി,viḷi / kūval / ārppuviḷi,,a1
call (telephone),noun,കോൾ / ഫോൺ വിളി / ടെലിഫോൺ വിളി,kōḷ / phōṇ viḷi / ṭeliphōṇ viḷi,,a1
camera,noun,ക്യാമറ,kyāmaṟa,,a1
can (ability),modal verb,കഴിയുക,kaḻiyuka,,a1
"can (permission, request)",modal verb,കഴിയുക / അനുവദിക്കുക,kaḻiyuka / anuvadikkuka,,a1
"cannot (be allowed to , prohibited)",modal verb,പാടില്ല,pāṭilla,,a1
"capital (chief, of the main city)",adjective,പ്രധാന / മുഖ്യ,pradhāna / mukhya,,a1
capital (city),noun,തലസ്ഥാനം,talasthānaṁ,,a1
capital (financial assets),noun,മൂലധനം / ധനം / നിക്ഷേപം,mūladhanaṁ / dhanaṁ / nikṣēpaṁ,,a1
capital (letter),adjective,വലിയ,valiya,,a1
car,noun,കാർ / വാഹനം,kār / vāhanaṁ,,a1
"card (greeting, post)",noun,കാർഡ് / ആശംസാകാർഡ്,kārḍ / āśaṁsākārḍ,,a1
"card (ID, Bank)",noun,കാർഡ്,kārḍ,,a1
career,noun,കരിയർ / തൊഴിൽ / ജീവിതവൃത്തി,kariyar / toḻil / jīvitavr̥tti,,a1
carrot,noun,കാരറ്റ്,kāraṟṟ,,a1
cat,noun,പൂച്ച,pūcca,,a1
cd,noun,സിഡി,siḍi,,a1
cent (unit of land area),noun,സെന്റ്,senṟ,,a1
"centre (institution, hub)",noun,കേന്ദ്രം / സെന്റർ,kēndraṁ / senṟar,,a1
century (100 years),noun,നൂറ്റാണ്ട് / ശതാബ്ദം,nūṟṟāṇṭ / śatābdaṁ,,a1
century (cricket score),noun,സെഞ്ച്വറി,señcvaṟi,,a1
change (alteration),noun,മാറ്റം / ഭേദം,māṟṟaṁ / bhēdaṁ,,a1
change (money remainder),noun,ചില്ലറ / ബാക്കി,cillaṟa / bākki,,a1
chart (map for navigation),noun,ചാർട്ട് / ഭൂപടം,cārṭṭ / bhūpaṭaṁ,,a1
cheap (low cost),adjective,വിലകുറഞ്ഞ / കുറഞ്ഞ വിലയുള്ള,vilakuṟañña / kuṟañña vilayuḷḷa,,a1
cheap (low quality),adjective,നിലവാരം കുറഞ്ഞ / മോശം,nilavāraṁ kuṟañña / mōśaṁ,,a1
"cheap (stingy, miserly)",adjective,പിശുക്കൻ / പിശുക്കുള്ള,piśukkan / piśukkuḷḷa,,a1
cheese,noun,ചീസ്,cīs,,a1
chicken (animal),noun,കോഴി,kōḻi,,a1
chicken (meat),noun,കോഴിയിറച്ചി,kōḻiyiṟacci,,a1
chocolate,noun,ചോക്ലേറ്റ്,cōklēṟṟ,,a1
city,noun,നഗരം / പട്ടണം,nagaraṁ / paṭṭaṇaṁ,,a1
class (category/type),noun,വർഗ്ഗം / തരം / വിഭാഗം,varggaṁ / taraṁ / vibhāgaṁ,,a1
class (grade level),noun,ക്ലാസ് / തരം,klās / taraṁ,,a1
"class (lesson, session)",noun,ക്ലാസ് / പാഠം,klās / pāṭhaṁ,,a1
class (social stratum),noun,വർഗ്ഗം / തരം / നില,varggaṁ / taraṁ / nila,,a1
classroom,noun,ക്ലാസ്സ്മുറി / പഠനമുറി,klāssmuṟi / paṭhanamuṟi,,a1
clock (wall or desk timepiece),noun,ക്ലോക്ക് / ഘടികാരം,klōkk / ghaṭikāraṁ,,a1
"clothes (garments, apparel)",noun,വസ്ത്രം / ഉടുപ്പ് / വേഷം,vastraṁ / uṭupp / vēṣaṁ,,a1
club (organization),noun,ക്ലബ്ബ് / സംഘം / സമിതി,klabb / saṁghaṁ / samiti,,a1
club (venue),noun,ക്ലബ്ബ് / നൈറ്റ്ക്ലബ്ബ്,klabb / naiṟṟklabb,,a1
coffee,noun,കാപ്പി,kāppi,,a1
"cold (cool, refreshing)",adjective,തണുത്ത / കുളിരുള്ള,taṇutta / kuḷiruḷḷa,,a1
cold (illness),noun,ജലദോഷം / പനി,jaladōṣaṁ / pani,,a1
cold (low temperature),noun,തണുപ്പ് / ശീതം,taṇupp / śītaṁ,,a1
"cold (temperature, unpleasant)",adjective,തണുത്ത / ശീതമുള്ള,taṇutta / śītamuḷḷa,,a1
college,noun,കോളേജ് / കലാലയം,kōḷēj / kalālayaṁ,,a1
colour,noun,നിറം / വർണ്ണം,niṟaṁ / varṇṇaṁ,,a1
"common (general, frequent)",adjective,സാധാരണ / പൊതുവായ,sādhāraṇa / potuvāya,,a1
"common (shared, joint)",adjective,പൊതുവായ / സംയുക്തമായ,potuvāya / saṁyuktamāya,,a1
company (business entity),noun,കമ്പനി / സ്ഥാപനം / വ്യവസായ സ്ഥാപനം,kampani / sthāpanaṁ / vyavasāya sthāpanaṁ,,a1
"company (companionship, guests)",noun,കൂട്ടായ്മ / അതിഥി / സഹവാസം,kūṭṭāyma / atithi / sahavāsaṁ,,a1
"complete (total, entire)",adjective,പൂർണ്ണമായ / മുഴുവൻ,pūrṇṇamāya / muḻuvan,,a1
computer,noun,കമ്പ്യൂട്ടർ / ഗണകം,kampyūṭṭar / gaṇakaṁ,,a1
concert,noun,സംഗീത പരിപാടി / കൺസേർട്ട് / കച്ചേരി,saṁgīta paripāṭi / kaṇsērṭṭ / kaccēri,,a1
conversation (casual chat),noun,സംഭാഷണം / വർത്തമാനം / കുശലം,saṁbhāṣaṇaṁ / varttamānaṁ / kuśalaṁ,,a1
cooking,noun,പാചകം / പാചകം ചെയ്യൽ,pācakaṁ / pācakaṁ ceyyal,,a1
cool (moderately cold),adjective,തണുത്ത / കുളിരുള്ള,taṇutta / kuḷiruḷḷa,,a1
correct,adjective,ശരിയായ / ശരി / കൃത്യമായ,śariyāya / śari / kr̥tyamāya,,a1
"cost (expenditure, expense)",noun,വില / ചെലവ് / ചിലവ്,vila / celav / cilav,,a1
"cost (price, monetary value)",noun,വില / ചെലവ് / മൂല്യം,vila / celav / mūlyaṁ,,a1
could (past ability),modal verb,കഴിയുക,kaḻiyuka,,a1
could (polite request),modal verb,കഴിയുക,kaḻiyuka,,a1
could (possibility),modal verb,സാധിക്കുക / കഴിയുക,sādhikkuka / kaḻiyuka,,a1
country (nation),noun,രാജ്യം / ദേശം,rājyaṁ / dēśaṁ,,a1
country (rural area),noun,ഗ്രാമം / നാട്,grāmaṁ / nāṭ,,a1
course (meal),noun,വിഭവം,vibhavaṁ,,a1
course (of study),noun,കോഴ്സ് / പഠനപദ്ധതി / പാഠ്യപദ്ധതി,kōḻs / paṭhanapaddhati / pāṭhyapaddhati,,a1
"cousin (female, parallel cousin)",noun,കസിൻ,kasin,,a1
"cousin (male, parallel cousin)",noun,കസിൻ,kasin,,a1
cow,noun,പശു / ഗോവ്,paśu / gōv,,a1
cream (lotion or ointment),noun,ക്രീം / ലേപനം / തൈലം,krīṁ / lēpanaṁ / tailaṁ,,a1
culture,noun,സംസ്കാരം,saṁskāraṁ,,a1
cup,noun,കപ്പ് / പാത്രം / കോപ്പ,kapp / pātraṁ / kōppa,,a1
cup (loanword),noun,കപ്പ്,kapp,,a1
customer,noun,ഉപഭോക്താവ് / കസ്റ്റമർ / വാങ്ങുന്നയാൾ,upabhōktāv / kasṟṟamar / vāṅṅunnayāḷ,,a1
cycle (vehicle),noun,സൈക്കിൾ,saikkiḷ,,a1
dad,noun,അച്ഛൻ / പിതാവ്,acchan / pitāv,,a1
dad (common spoken),noun,അച്ഛാ / പപ്പ / ഡാഡി,acchā / pappa / ḍāḍi,,a1
dancer (female),noun,നർത്തകി,narttaki,,a1
dancer (male),noun,നർത്തകൻ,narttakan,,a1
dancing (general act),noun,നൃത്തം / ഡാൻസ്,nr̥ttaṁ / ḍāns,,a1
"dancing (performance, classical)",noun,നൃത്തം,nr̥ttaṁ,,a1
dangerous,adjective,അപകടകരമായ / ഭയങ്കരമായ,apakaṭakaramāya / bhayaṅkaramāya,,a1
dark (deep in color),adjective,കറുത്ത / ഇരുണ്ട,kaṟutta / iruṇṭa,,a1
date (calendar time),noun,തീയതി / ദിനാങ്കം,tīyati / dināṅkaṁ,,a1
date (fruit),noun,ഈന്തപ്പഴം,īntappaḻaṁ,,a1
daughter,noun,മകൾ / പുത്രി,makaḷ / putri,,a1
day (24-hour period),noun,ദിവസം / ദിനം,divasaṁ / dinaṁ,,a1
"day (daytime, light period)",noun,പകൽ,pakal,,a1
"dear (addressing someone in speech, writing)",adjective,പ്രിയ / പ്രിയപ്പെട്ട,priya / priyappeṭṭa,,a1
dear (beloved),adjective,പ്രിയപ്പെട്ട / വാത്സല്യമുള്ള / ഇഷ്ടപ്പെട്ട,priyappeṭṭa / vātsalyamuḷḷa / iṣṭappeṭṭa,,a1
december,noun,ഡിസംബർ,ḍisaṁbar,,a1
decision (common choice),noun,തീരുമാനം / നിശ്ചയം,tīrumānaṁ / niścayaṁ,,a1
description,noun,വിവരണം / വർണ്ണന,vivaraṇaṁ / varṇṇana,,a1
"design (pattern, style)",noun,രൂപകൽപ്പന / ഡിസൈൻ,rūpakalppana / ḍisain,,a1
"design (plan, structure)",noun,രൂപകൽപ്പന / പദ്ധതി / ഘടന,rūpakalppana / paddhati / ghaṭana,,a1
desk,noun,ഡെസ്ക് / മേശ,ḍesk / mēśa,,a1
detail,noun,വിശദാംശം / വിവരം,viśadāṁśaṁ / vivaraṁ,,a1
"dialogue (script, film)",noun,സംഭാഷണം / ഡയലോഗ്,saṁbhāṣaṇaṁ / ḍayalōg,,a1
dictionary,noun,നിഘണ്ടു / ഡിക്ഷണറി,nighaṇṭu / ḍikṣaṇaṟi,,a1
diet (restrictive eating plan),noun,ആഹാരക്രമം / ഡയറ്റ്,āhārakramaṁ / ḍayaṟṟ,,a1
difference,noun,വ്യത്യാസം / ഭിന്നത,vyatyāsaṁ / bhinnata,,a1
dinner,noun,അത്താഴം / രാത്രിഭക്ഷണം,attāḻaṁ / rātribhakṣaṇaṁ,,a1
"dish (plate, container)",noun,പാത്രം / പ്ലേറ്റ്,pātraṁ / plēṟṟ,,a1
dish (prepared food),noun,വിഭവം / കറി,vibhavaṁ / kaṟi,,a1
dog,noun,നായ / ശ്വാവ്,nāya / śvāv,,a1
dollar,noun,ഡോളർ,ḍōḷar,,a1
door,noun,വാതിൽ,vātil,,a1
down,preposition,താഴെ / അടിയിൽ,tāḻe / aṭiyil,,a1
"down (emotionally, sad)",adverb,വിഷാദത്തോടെ / ദുഃഖിതനായി,viṣādattōṭe / duḥkhitanāyi,,a1
