english_word,word_class,kannada_translation,transliteration,verb_transitivity,level
"afraid (apologetic, reluctant)",adjective,ಕ್ಷಮಿಸಿ / ವಿಷಾದಿಸುತ್ತೇನೆ,kṣamisi / viṣādisuttēne,,a2
after (following time or event),preposition,ನಂತರ / ಆಮೇಲೆ / ಮೇಲೆ,naṁtara / āmēle / mēle,,a2
"after (upon completion, sequence)",preposition,ಮೇಲೆ / ನಂತರ,mēle / naṁtara,,a2
afternoon,noun,ಮಧ್ಯಾಹ್ನ / ಅಪರಾಹ್ನ,madhyāhna / aparāhna,,a2
again (one more time),adverb,ಮತ್ತೆ / ಪುನಃ / ಮರಳಿ,matte / punaḥ / maraḷi,,a2
ago,adverb,ಹಿಂದೆ / ಹಿಂದೆಂದೋ,hiṁde / hiṁdeṁdō,,a2
air (travel),noun,ವಿಮಾನ ಪ್ರಯಾಣ / ವಾಯುಯಾನ,vimāna prayāṇa / vāyuyāna,,a2
airport,noun,ವಿಮಾನ ನಿಲ್ದಾಣ / ಏರ್‌ಪೋರ್ಟ್,vimāna nildāṇa / ērpōrṭ,,a2
all (entire duration or quantity),determiner,ಎಲ್ಲಾ / ಪೂರ್ತಿ / ಸಮಸ್ತ,ellā / pūrti / samasta,,a2
all (entire quantity/duration),determiner,ಇಡೀ / ಪೂರ್ತಿ / ಸಮಸ್ತ,iḍī / pūrti / samasta,,a2
"all (people, everyone)",pronoun,ಎಲ್ಲರೂ / ಸರ್ವರೂ,ellarū / sarvarū,,a2
also,adverb,ಕೂಡ / ಸಹ,kūḍa / saha,,a2
always (at all times),adverb,ಯಾವಾಗಲೂ / ಎಂದಿಗೂ,yāvāgalū / eṁdigū,,a2
"always (continuous state, stylistic)",adverb,ಸದಾ / ನಿರಂತರವಾಗಿ,sadā / niraṁtaravāgi,,a2
"amazing (spectacular, awe-inspiring)",adjective,ವಿಸ್ಮಯಕಾರಿ / ಅದ್ಭುತ / ಅಪೂರ್ವ,vismayakāri / adbhuta / apūrva,,a2
"amazing (wonderful, great)",adjective,ಅದ್ಭುತ / ಅದ್ಭುತವಾದ,adbhuta / adbhutavāda,,a2
and (general linking),conjunction,ಮತ್ತು,mattu,,a2
angrily,adverb,ಸಿಟ್ಟಿನಿಂದ / ಕೋಪದಿಂದ / ರೋಷದಿಂದ,siṭṭiniṁda / kōpadiṁda / rōṣadiṁda,,a2
"angry (common, annoyed)",adjective,ಸಿಟ್ಟಾದ / ಕೋಪಗೊಂಡ / ಕಿರಿಕಿರಿಗೊಂಡ,siṭṭāda / kōpagoṁḍa / kirikirigoṁḍa,,a2
another,determiner,ಮತ್ತೊಂದು / ಇನ್ನೊಂದು / ಬೇರೆ,mattoṁdu / innoṁdu / bēre,,a2
another (a different one),pronoun,ಬೇರೆ ಒಂದು / ಇನ್ನೊಂದು,bēre oṁdu / innoṁdu,,a2
another (one more),pronoun,ಇನ್ನೊಂದು / ಮತ್ತೊಂದು,innoṁdu / mattoṁdu,,a2
"another (unspecified thing, item)",determiner,ಇನ್ನೊಂದು / ಮತ್ತೊಂದು,innoṁdu / mattoṁdu,,a2
answer,noun,ಉತ್ತರ / ಪ್ರತ್ಯುತ್ತರ,uttara / pratyuttara,,a2
"any (choice, universal)",determiner,ಯಾವುದೇ / ಯಾವುದಾದರೂ,yāvudē / yāvudādarū,,a2
any (general selection),pronoun,ಯಾವುದಾದರೂ / ಯಾವುದೇ / ಯಾವ ಆದರೂ,yāvudādarū / yāvudē / yāva ādarū,,a2
"any (in questions, negatives)",determiner,ಏನಾದರೂ / ಸ್ವಲ್ಪವಾದರೂ,ēnādarū / svalpavādarū,,a2
any (indefinite quantity),determiner,ಸ್ವಲ್ಪವಾದರೂ / ಕನಿಷ್ಠ,svalpavādarū / kaniṣṭha,,a2
"any (item, choice)",pronoun,ಯಾವುದಾದರೂ / ಯಾವುದೇ / ಯಾವ ಆದರೂ,yāvudādarū / yāvudē / yāva ādarū,,a2
"any (some, if)",pronoun,ಏನಾದರೂ / ಸ್ವಲ್ಪವಾದರೂ,ēnādarū / svalpavādarū,,a2
"any (universal choice, usually in context)",determiner,ಯಾವ ಆದರೂ / ಯಾವುದೇ,yāva ādarū / yāvudē,,a2
any (zero quantity),pronoun,ಯಾವುದೂ,yāvudū,,a2
"any (zero quantity, with negative verb)",pronoun,ಏನೂ / ಯಾವುದೂ,ēnū / yāvudū,,a2
"anyone (any person, affirmative)",pronoun,ಯಾರಾದರೂ / ಯಾರು ಬೇಕಾದರೂ,yārādarū / yāru bēkādarū,,a2
"anyone (in questions, negatives)",pronoun,ಯಾರೂ,yārū,,a2
"anything (thing, object, general indefinite)",pronoun,ಏನಾದರೂ / ಏನು ಬೇಕಾದರೂ / ಯಾವುದನ್ನಾದರೂ,ēnādarū / ēnu bēkādarū / yāvudannādarū,,a2
anything (whatever the choice),pronoun,ಯಾವುದನ್ನಾದರೂ / ಏನನ್ನಾದರೂ,yāvudannādarū / ēnannādarū,,a2
apartment,noun,ಅಪಾರ್ಟ್ಮೆಂಟ್ / ಫ್ಲಾಟ್,apārṭmeṁṭ / phlāṭ,,a2
apple,noun,ಸೇಬು,sēbu,,a2
april,noun,ಏಪ್ರಿಲ್,ēpril,,a2
area (measurement),noun,ವಿಸ್ತೀರ್ಣ / ಕ್ಷೇತ್ರಫಲ,vistīrṇa / kṣētraphala,,a2
around (approximate time or quantity),preposition,ಸುಮಾರು / ಅಂದಾಜು,sumāru / aṁdāju,,a2
around (approximately),adverb,ಸುಮಾರು / ಅಂದಾಜು,sumāru / aṁdāju,,a2
"around (movement, periphery)",adverb,ಸುತ್ತಲೂ / ಸುತ್ತಮುತ್ತ,suttalū / suttamutta,,a2
around (nearby or in the vicinity),preposition,ಹತ್ತಿರ / ಸಮೀಪ,hattira / samīpa,,a2
"around (nearby, in the vicinity)",adverb,ಹತ್ತಿರದಲ್ಲಿ / ಸಮೀಪದಲ್ಲಿ,hattiradalli / samīpadalli,,a2
around (surrounding something or moving in a circle),preposition,ಸುತ್ತ / ಸುತ್ತಲೂ,sutta / suttalū,,a2
arrow (projectile),noun,ಬಾಣ,bāṇa,,a2
art (skill or technique),noun,ಕಲೆ / ಕೌಶಲ್ಯ,kale / kauśalya,,a2
article (object),noun,ವಸ್ತು / ಸಾಮಾನು,vastu / sāmānu,,a2
article (writing),noun,ಲೇಖನ / ಬರಹ,lēkhana / baraha,,a2
"artist (performer, general artiste)",noun,ಕಲಾವಿದ / ಕಲಾವಿದೆ / ಪ್ರದರ್ಶಕ / ಪ್ರದರ್ಶಕಿ,kalāvida / kalāvide / pradarśaka / pradarśaki,,a2
"artist (visual creator, e.g., painter)",noun,ಕಲಾವಿದ / ಕಲಾವಿದೆ / ಚಿತ್ರಕಲಾವಿದ / ಚಿತ್ರಕಲಾವಿದೆ,kalāvida / kalāvide / citrakalāvida / citrakalāvide,,a2
as (in the role of),preposition,ಆಗಿ,āgi,,a2
"as (like, in the manner of)",preposition,ಹಾಗೆ / ರೀತಿಯಲ್ಲಿ / ಅಂತೆ,hāge / rītiyalli / aṁte,,a2
asleep (in slumber),adjective,ಮಲಗಿದ / ನಿದ್ರಿಸಿದ,malagida / nidrisida,,a2
"at (target, direction)",preposition,ಕಡೆಗೆ / ದಿಕ್ಕಿಗೆ,kaḍege / dikkige,,a2
"at (time, moment)",preposition,ಗೆ / ನಲ್ಲಿ,ge / nalli,,a2
august,noun,ಆಗಸ್ಟ್,āgasṭ,,a2
aunt (father's sister),noun,ಅತ್ತೆ,atte,,a2
aunt (mother's elder sister),noun,ದೊಡ್ಡಮ್ಮ,doḍḍamma,,a2
aunt (mother's younger sister),noun,ಚಿಕ್ಕಮ್ಮ,cikkamma,,a2
auto (common usage),noun,ಆಟೋ,āṭō,,a2
autumn,noun,ಶರತ್ಕಾಲ,śaratkāla,,a2
away (distance or absence),adverb,ದೂರ / ಹೊರಗೆ / ಪಕ್ಕಕ್ಕೆ,dūra / horage / pakkakke,,a2
away (into storage or hiding),adverb,ಒಳಗೆ / ಎತ್ತಿಟ್ಟು / ಮರೆಮಾಚಿ,oḷage / ettiṭṭu / maremāci,,a2
baby,noun,ಮಗು / ಕೂಸು / ಕಂದ,magu / kūsu / kaṁda,,a2
baby (term of endearment),noun,ಕಂದ / ಚಿನ್ನ / ಪ್ರೀತಿಪಾತ್ರ,kaṁda / cinna / prītipātra,,a2
back,adverb,ಹಿಂದಕ್ಕೆ,hiṁdakke,,a2
back (rear side),noun,ಬೆನ್ನು / ಹಿಂಭಾಗ,bennu / hiṁbhāga,,a2
"bad (sick, unwell)",adjective,ಹುಷಾರಿಲ್ಲದ / ಅನಾರೋಗ್ಯಕರ,huṣārillada / anārōgyakara,,a2
ball,noun,ಚೆಂಡು,ceṁḍu,,a2
"banana (unripe, raw)",noun,ಬಾಳೇ ಕಾಯಿ,bāḷē kāyi,,a2
band (musical group),noun,ಬ್ಯಾಂಡ್ / ಸಂಗೀತ ತಂಡ,byāṁḍ / saṁgīta taṁḍa,,a2
"bank (river, lake)",noun,ದಡ / ದಂಡೆ / ತೀರ / ತಟ,daḍa / daṁḍe / tīra / taṭa,,a2
bath,noun,ಸ್ನಾನ / ಮೀಯುವಿಕೆ,snāna / mīyuvike,,a2
beach,noun,ಕಡಲತೀರ / ಸಮುದ್ರತೀರ / ದಂಡೆ,kaḍalatīra / samudratīra / daṁḍe,,a2
beautiful,adjective,ಸುಂದರ / ಅಂದವಾದ / ಚಂದದ / ರಮಣೀಯ,suṁdara / aṁdavāda / caṁdada / ramaṇīya,,a2
because (clause connector),conjunction,ಯಾಕೆಂದರೆ / ಏಕೆಂದರೆ,yākeṁdare / ēkeṁdare,,a2
"because of (a noun, reason)",conjunction,ಕಾರಣದಿಂದ / ನಿಮಿತ್ತ / ಸಲುವಾಗಿ,kāraṇadiṁda / nimitta / saluvāgi,,a2
bed (planting area),noun,ಸಸಿಪಾತಿ / ಪಾತಿ,sasipāti / pāti,,a2
bedroom,noun,ಮಲಗುವ ಕೋಣೆ / ಮಲಗುವ ಮನೆ,malaguva kōṇe / malaguva mane,,a2
beer,noun,ಬಿಯರ್,biyar,,a2
before (time),preposition,ಮೊದಲು / ಪೂರ್ವ,modalu / pūrva,,a2
behind (at the rear),preposition,ಹಿಂದೆ,hiṁde,,a2
behind (delayed or late),adverb,ಹಿಂದುಳಿದು,hiṁduḷidu,,a2
behind (remaining or lagging),preposition,ಹಿಂದೆ,hiṁde,,a2
below (in a document or list),adverb,ಕೆಳಗೆ,keḷage,,a2
below (less than a standard/value),preposition,ಕಡಿಮೆ,kaḍime,,a2
below (less than),preposition,ಕೆಳಗೆ / ಕಡಿಮೆಗಿಂತ,keḷage / kaḍimegiṁta,,a2
below (spatially),preposition,ಕೆಳಗೆ,keḷage,,a2
better (in health),adjective,ವಾಸಿ / ಸುಧಾರಿಸಿದ,vāsi / sudhārisida,,a2
between,preposition,ಮಧ್ಯೆ / ನಡುವೆ,madhye / naḍuve,,a2
big,adjective,ದೊಡ್ಡ / ಬೃಹತ್ / ಮಹತ್ತರ,doḍḍa / br̥hat / mahattara,,a2
bike (bicycle),noun,ಸೈಕಲ್ / ಬೈಸಿಕಲ್,saikal / baisikal,,a2
bill (bird's beak),noun,ಕೊಕ್ಕು,kokku,,a2
bill (invoice),noun,ಬಿಲ್ / ಲೆಕ್ಕಪಟ್ಟಿ / ರಸೀದಿ,bil / lekkapaṭṭi / rasīdi,,a2
bird (common),noun,ಹಕ್ಕಿ / ಪಕ್ಷಿ,hakki / pakṣi,,a2
"bird (general, formal)",noun,ಪಕ್ಷಿ / ಹಕ್ಕಿ,pakṣi / hakki,,a2
birthday,noun,ಹುಟ್ಟಿದ ಹಬ್ಬ / ಜನ್ಮ ದಿನ,huṭṭida habba / janma dina,,a2
black (color),noun,ಕಪ್ಪು,kappu,,a2
blog,noun,ಬ್ಲಾಗ್,blāg,,a2
blonde,adjective,ಹೊಂಬಣ್ಣದ / ಹೊನ್ನಿನ ಬಣ್ಣದ,hoṁbaṇṇada / honnina baṇṇada,,a2
blue,noun,ನೀಲಿ,nīli,,a2
boat,noun,ದೋಣಿ / ನಾವೆ,dōṇi / nāve,,a2
body,noun,ದೇಹ / ಶರೀರ / ಮೈ / ಕಾಯ,dēha / śarīra / mai / kāya,,a2
book,noun,ಪುಸ್ತಕ / ಹೊತ್ತಿಗೆ / ಕಿತಾಬು,pustaka / hottige / kitābu,,a2
boot,noun,ಬೂಟು,būṭu,,a2
bored,adjective,ಬೇಸರಗೊಂಡ / ಬೇಸರವಾದ / ನೀರಸವಾದ,bēsaragoṁḍa / bēsaravāda / nīrasavāda,,a2
"boring (tedious, dull)",adjective,ಬೇಸರ ತರಿಸುವ / ನೀರಸವಾದ / ಕಂಟಾಳವಾದ,bēsara tarisuva / nīrasavāda / kaṁṭāḷavāda,,a2
both (modifying a noun),pronoun,ಎರಡೂ,eraḍū,,a2
both (people),determiner,ಇಬ್ಬರೂ,ibbarū,,a2
bottle,noun,ಬಾಟ್ಲಿ / ಸೀಸೆ,bāṭli / sīse,,a2
box,noun,ಪೆಟ್ಟಿಗೆ / ಡಬ್ಬಿ,peṭṭige / ḍabbi,,a2
boy,noun,ಹುಡುಗ / ಬಾಲಕ / ಕಿಶೋರ,huḍuga / bālaka / kiśōra,,a2
"boyfriend (casual, direct usage)",noun,ಬಾಯ್ಫ್ರೆಂಡ್,bāyphreṁḍ,,a2
boyfriend (general),noun,ಗೆಳೆಯ / ಸ್ನೇಹಿತ,geḷeya / snēhita,,a2
bread,noun,ಬ್ರೆಡ್,breḍ,,a2
bread (flatbread/roti),noun,ರೊಟ್ಟಿ / ಚಪಾತಿ / ಪೂರಿ,roṭṭi / capāti / pūri,,a2
"bread (general flatbread, roti)",noun,ರೊಟ್ಟಿ / ಚಪಾತಿ,roṭṭi / capāti,,a2
bread (Western style),noun,ಬ್ರೆಡ್,breḍ,,a2
break (rest period),noun,ವಿರಾಮ / ನಿಲುಗಡೆ / ಬಿಡುವು,virāma / nilugaḍe / biḍuvu,,a2
breakfast (common),noun,ಟಿಫಿನ್ / ಬೆಳಗಿನ ಉಪಾಹಾರ,ṭiphin / beḷagina upāhāra,,a2
breakfast (formal),noun,ಬೆಳಗಿನ ಉಪಾಹಾರ / ಪ್ರಭಾತ ಭೋಜನ,beḷagina upāhāra / prabhāta bhōjana,,a2
brother (elder),noun,ಅಣ್ಣ / ಅಣ್ಣಯ್ಯ,aṇṇa / aṇṇayya,,a2
brother (younger),noun,ತಮ್ಮ / ತಮ್ಮಯ್ಯ,tamma / tammayya,,a2
brown,noun,ಕಂದು ಬಣ್ಣ / ಕಂದು,kaṁdu baṇṇa / kaṁdu,,a2
brown (adjective),noun,ಕಂದು / ಕಂದುಬಣ್ಣದ,kaṁdu / kaṁdubaṇṇada,,a2
building,noun,ಕಟ್ಟಡ / ಭವನ / ಸೌಧ,kaṭṭaḍa / bhavana / saudha,,a2
bus,noun,ಬಸ್ಸು,bassu,,a2
"business (commercial enterprise, trade)",noun,ವ್ಯಾಪಾರ / ವ್ಯವಹಾರ / ಉದ್ಯಮ,vyāpāra / vyavahāra / udyama,,a2
"busy (crowded, bustling)",adjective,ನಿರತ / ಕಾರ್ಯನಿರತ / ಜನನಿಬಿಡ,nirata / kāryanirata / jananibiḍa,,a2
busy (telephone line engaged),adjective,ಬಿಜಿ / ನಿರತ,biji / nirata,,a2
by (deadline),preposition,ಒಳಗೆ / ಮುನ್ನ,oḷage / munna,,a2
by (means of),preposition,ಮೂಲಕ / ಇಂದ,mūlaka / iṁda,,a2
"by (near, beside)",preposition,ಪಕ್ಕದಲ್ಲಿ / ಹತ್ತಿರ / ಬಳಿ,pakkadalli / hattira / baḷi,,a2
bye (casual),noun,ಬೈ / ಸಿಕ್ತೀನಿ / ಹೋಗಿ ಬರ್ತೀನಿ,bai / siktīni / hōgi bartīni,,a2
bye (polite parting),exclamation,ಬೈ / ನಮಸ್ಕಾರ / ಹೋಗಿ ಬನ್ನಿ,bai / namaskāra / hōgi banni,,a2
cafe,noun,ಕಾಫಿ ಅಂಗಡಿ / ಕ್ಯಾಫೆ / ಕಾಫಿ ಮನೆ,kāphi aṁgaḍi / kyāphe / kāphi mane,,a2
cake,noun,ಕೇಕ್,kēk,,a2
"call (shout, cry)",noun,ಕೂಗು / ಕರೆ / ಆಹ್ವಾನ,kūgu / kare / āhvāna,,a2
call (telephone),noun,ಫೋನ್ ಕರೆ / ಕರೆ / ದೂರವಾಣಿ ಕರೆ,phōn kare / kare / dūravāṇi kare,,a2
camera,noun,ಕ್ಯಾಮೆರಾ,kyāmerā,,a2
can (ability),modal verb,ಸಾಧ್ಯವಾಗು,sādhyavāgu,,a2
"can (permission, request)",modal verb,ಅನುಮತಿ ಕೊಡು / ಅವಕಾಶ ಕೊಡು,anumati koḍu / avakāśa koḍu,,a2
"cannot (be allowed to , prohibited)",modal verb,ಅನುಮತಿ ಇಲ್ಲ / ನಿಷಿದ್ಧ,anumati illa / niṣiddha,,a2
"capital (chief, of the main city)",adjective,ರಾಜಧಾನಿಯ / ಮುಖ್ಯ / ಪ್ರಧಾನ,rājadhāniya / mukhya / pradhāna,,a2
capital (city),noun,ರಾಜಧಾನಿ / ರಾಜ್ಯಧಾನಿ,rājadhāni / rājyadhāni,,a2
capital (financial assets),noun,ಬಂಡವಾಳ / ಮೂಲಧನ,baṁḍavāḷa / mūladhana,,a2
capital (letter),adjective,ದೊಡ್ಡ / ಕ್ಯಾಪಿಟಲ್,doḍḍa / kyāpiṭal,,a2
car,noun,ಕಾರು / ವಾಹನ / ಮೋಟಾರು ಗಾಡಿ,kāru / vāhana / mōṭāru gāḍi,,a2
"card (greeting, post)",noun,ಕಾರ್ಡ್,kārḍ,,a2
"card (ID, Bank)",noun,ಕಾರ್ಡ್ / ಗುರುತು ಚೀಟಿ,kārḍ / gurutu cīṭi,,a2
career,noun,ವೃತ್ತಿ / ಉದ್ಯೋಗ / ಕೆಲಸ,vr̥tti / udyōga / kelasa,,a2
carrot,noun,ಗಜ್ಜರಿ,gajjari,,a2
cat,noun,ಬೆಕ್ಕು,bekku,,a2
cd,noun,ಸಿಡಿ,siḍi,,a2
cent (unit of land area),noun,ಸೆಂಟ್,seṁṭ,,a2
"centre (institution, hub)",noun,ಕೇಂದ್ರ / ಕೇಂದ್ರಸ್ಥಾನ,kēṁdra / kēṁdrasthāna,,a2
century (100 years),noun,ಶತಮಾನ / ನೂರು ವರ್ಷಗಳು,śatamāna / nūru varṣagaḷu,,a2
century (cricket score),noun,ಶತಕ / ಸೆಂಚುರಿ,śataka / seṁcuri,,a2
change (alteration),noun,ಬದಲಾವಣೆ / ಪರಿವರ್ತನೆ,badalāvaṇe / parivartane,,a2
change (money remainder),noun,ಚಿಲ್ಲರೆ / ಉಳಿದ ಹಣ,cillare / uḷida haṇa,,a2
chart (map for navigation),noun,ನಕ್ಷೆ / ಪಟ,nakṣe / paṭa,,a2
cheap (low cost),adjective,ಅಗ್ಗದ / ಕಡಿಮೆ ಬೆಲೆಯ,aggada / kaḍime beleya,,a2
cheap (low quality),adjective,ಕಳಪೆ / ಕಳಪೆ ಗುಣಮಟ್ಟದ,kaḷape / kaḷape guṇamaṭṭada,,a2
"cheap (stingy, miserly)",adjective,ಜಿಪುಣ / ಲೋಭಿ / ಕೃಪಣ,jipuṇa / lōbhi / kr̥paṇa,,a2
cheese,noun,ಚೀಸ್,cīs,,a2
chicken (animal),noun,ಕೋಳಿ,kōḷi,,a2
chicken (meat),noun,ಕೋಳಿ ಮಾಂಸ,kōḷi māṁsa,,a2
chocolate,noun,ಚಾಕೊಲೇಟ್,cākolēṭ,,a2
city,noun,ನಗರ / ಪಟ್ಟಣ,nagara / paṭṭaṇa,,a2
class (category/type),noun,ವರ್ಗ / ವಿಧ / ಪ್ರಕಾರ,varga / vidha / prakāra,,a2
class (grade level),noun,ತರಗತಿ / ವರ್ಗ,taragati / varga,,a2
"class (lesson, session)",noun,ತರಗತಿ / ಪಾಠ / ಅವಧಿ,taragati / pāṭha / avadhi,,a2
class (social stratum),noun,ವರ್ಗ / ಶ್ರೇಣಿ,varga / śrēṇi,,a2
classroom,noun,ತರಗತಿ ಕೊಠಡಿ / ತರಗತಿ ಕೋಣೆ,taragati koṭhaḍi / taragati kōṇe,,a2
clock (wall or desk timepiece),noun,ಗಡಿಯಾರ,gaḍiyāra,,a2
"clothes (garments, apparel)",noun,ಬಟ್ಟೆಗಳು / ವಸ್ತ್ರಗಳು,baṭṭegaḷu / vastragaḷu,,a2
club (organization),noun,ಕ್ಲಬ್ / ಸಂಸ್ಥೆ / ಕೂಟ,klab / saṁsthe / kūṭa,,a2
club (venue),noun,ನೈಟ್ಕ್ಲಬ್ / ಕ್ಲಬ್,naiṭklab / klab,,a2
coffee,noun,ಕಾಫಿ,kāphi,,a2
"cold (cool, refreshing)",adjective,ತಂಪಾದ / ತಂಪು,taṁpāda / taṁpu,,a2
cold (illness),noun,ನೆಗಡಿ / ಶೀತ,negaḍi / śīta,,a2
cold (low temperature),noun,ಚಳಿ / ಶೀತ,caḷi / śīta,,a2
"cold (temperature, unpleasant)",adjective,ಚಳಿಯಾದ / ಶೀತವಾದ,caḷiyāda / śītavāda,,a2
college,noun,ಕಾಲೇಜು / ಮಹಾವಿದ್ಯಾಲಯ,kālēju / mahāvidyālaya,,a2
colour,noun,ಬಣ್ಣ / ವರ್ಣ,baṇṇa / varṇa,,a2
"common (general, frequent)",adjective,ಸಾಮಾನ್ಯ / ಸಹಜ / ಸಾಧಾರಣ,sāmānya / sahaja / sādhāraṇa,,a2
"common (shared, joint)",adjective,ಸಾಮಾನ್ಯ / ಜಂಟಿ / ಸಹಭಾಗಿತ್ವದ,sāmānya / jaṁṭi / sahabhāgitvada,,a2
company (business entity),noun,ಕಂಪನಿ / ಸಂಸ್ಥೆ / ಉದ್ಯಮ,kaṁpani / saṁsthe / udyama,,a2
"company (companionship, guests)",noun,ಒಡನಾಟ / ಸಂಗಡ / ಸಹವಾಸ,oḍanāṭa / saṁgaḍa / sahavāsa,,a2
"complete (total, entire)",adjective,ಪೂರ್ಣ / ಸಂಪೂರ್ಣ / ಸಕಲ,pūrṇa / saṁpūrṇa / sakala,,a2
computer,noun,ಕಂಪ್ಯೂಟರ್ / ಗಣಕ ಯಂತ್ರ,kaṁpyūṭar / gaṇaka yaṁtra,,a2
concert,noun,ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮ / ಕಛೇರಿ / ಸಂಗೀತ ಕಛೇರಿ,saṁgīta kāryakrama / kachēri / saṁgīta kachēri,,a2
conversation (casual chat),noun,ಮಾತುಕತೆ / ಸಂಭಾಷಣೆ / ಹರಟೆ,mātukate / saṁbhāṣaṇe / haraṭe,,a2
cooking,noun,ಅಡುಗೆ / ಪಾಕ,aḍuge / pāka,,a2
cool (moderately cold),adjective,ತಂಪಾದ / ತಣ್ಣಗಾದ / ಶೀತಲವಾದ,taṁpāda / taṇṇagāda / śītalavāda,,a2
correct,adjective,ಸರಿ / ಸರಿಯಾದ / ನಿಖರವಾದ,sari / sariyāda / nikharavāda,,a2
"cost (expenditure, expense)",noun,ವೆಚ್ಚ / ಖರ್ಚು,vecca / kharcu,,a2
"cost (price, monetary value)",noun,ಬೆಲೆ / ದರ / ಮೌಲ್ಯ,bele / dara / maulya,,a2
could (past ability),modal verb,ಸಾಧ್ಯವಾಯಿತು,sādhyavāyitu,,a2
could (polite request),modal verb,ದಯವಿಟ್ಟು ಮಾಡಿಕೊಡು,dayaviṭṭu māḍikoḍu,,a2
could (possibility),modal verb,-ಬಹುದು / ಆಗಬಹುದು,-bahudu / āgabahudu,,a2
country (nation),noun,ದೇಶ / ರಾಷ್ಟ್ರ,dēśa / rāṣṭra,,a2
country (rural area),noun,ಗ್ರಾಮ ಪ್ರದೇಶ / ಹಳ್ಳಿ ಪ್ರದೇಶ / ಗ್ರಾಮಾಂತರ,grāma pradēśa / haḷḷi pradēśa / grāmāṁtara,,a2
course (meal),noun,ಆಹಾರದ ಹಂತು / ಭೋಜನದ ಹಂತ,āhārada haṁtu / bhōjanada haṁta,,a2
course (of study),noun,ಪಾಠ್ಯಕ್ರಮ / ಅಧ್ಯಯನ ಕ್ರಮ,pāṭhyakrama / adhyayana krama,,a2
"cousin (female, parallel cousin)",noun,ಸೋದರ ಸಂಬಂಧಿ (ಹೆಣ್ಣು) / ಅಕ್ಕನ ಮಗಳು / ಚಿಕ್ಕಮ್ಮನ ಮಗಳು,sōdara saṁbaṁdhi (heṇṇu) / akkana magaḷu / cikkammana magaḷu,,a2
"cousin (male, parallel cousin)",noun,ಸೋದರ ಸಂಬಂಧಿ (ಗಂಡು) / ಅಣ್ಣನ ಮಗ / ಚಿಕ್ಕಪ್ಪನ ಮಗ,sōdara saṁbaṁdhi (gaṁḍu) / aṇṇana maga / cikkappana maga,,a2
