english_word,verb_transitivity,word_class,level,kannada_translation,transliteration
candidate (examinee),N/A,noun,b1,ಪರೀಕ್ಷಾರ್ಥಿ,parīkṣārthi
candle,N/A,noun,b2,ಮೇಣದ ಬತ್ತಿ,mēṇada batti
"cannot (be allowed to ,  prohibited)",N/A,modal verb,a1,ಅನುಮತಿ ಇಲ್ಲ,anumati illa
"canvas (for painting, art)",N/A,noun,c1,ಕ್ಯಾನ್ವಾಸ್,kyānvās
"canvas (metaphorical framework, scope)",N/A,noun,c1,ವ್ಯಾಪ್ತಿ,vyāpti
cap (headwear),N/A,noun,b1,ಕ್ಯಾಪ್ / ಟೋಪಿ,kyāp / ṭōpi
cap (lid for a container),N/A,noun,b1,ಮುಚ್ಚಳ,muccaḷa
capability (strategic resource or function),N/A,noun,c1,ಸಾಮರ್ಥ್ಯ,sāmarthya
capable,N/A,adjective,b2,ಸಮರ್ಥ,samartha
"capacity (role, function)",N/A,noun,b2,ಪಾತ್ರ / ಸ್ಥಾನ,pātra / sthāna
"capital (chief, of the main city)",N/A,adjective,a1,ರಾಜಧಾನಿಯ,rājadhāniya
capital (letter),N/A,adjective,a1,ದೊಡ್ಡ,doḍḍa
capital (city),N/A,noun,a1,ರಾಜಧಾನಿ,rājadhāni
capital (financial assets),N/A,noun,a1,ಬಂಡವಾಳ,baṁḍavāḷa
capitalism,N/A,noun,c1,ಬಂಡವಾಳಶಾಹಿತ್ವ / ಬಂಡವಾಳಶಾಹಿ ಪದ್ಧತಿ,baṁḍavāḷaśāhitva / baṁḍavāḷaśāhi paddhati
capitalist,N/A,adjective,c1,ಬಂಡವಾಳಶಾಹಿ,baṁḍavāḷaśāhi
captain (sports team leader),N/A,noun,b1,ನಾಯಕ,nāyaka
captain (female sports team leader),N/A,noun,b1,ನಾಯಕಿ,nāyaki
captain (ship or military rank),N/A,noun,b1,ಕ್ಯಾಪ್ಟನ್,kyāpṭan
capture (seizure or arrest),N/A,noun,b2,ಸೆರೆಹಿಡಿಯುವಿಕೆ / ಬಂಧನ,serehiḍiyuvike / baṁdhana
capture (recording or depiction),N/A,noun,b2,ದಾಖಲೆ,dākhale
to capture (person or location),transitive,verb,b2,ಸೆರೆಹಿಡಿ / ವಶಪಡಿಸಿಕೊ,serehiḍi / vaśapaḍisiko
to capture (image or data),transitive,verb,b2,ದಾಖಲಿಸು / ಸೆರೆಹಿಡಿ,dākhalisu / serehiḍi
car,N/A,noun,a1,ಕಾರು,kāru
carbon,N/A,noun,b2,ಇಂಗಾಲ,iṁgāla
"card (ID, Bank)",N/A,noun,a1,ಕಾರ್ಡ್,kārḍ
"card (greeting, post)",N/A,noun,a1,ಕಾರ್ಡ್,kārḍ
greeting card,N/A,noun,a1,ಶುಭಾಶಯ ಪತ್ರ,śubhāśaya patra
care (caution),N/A,noun,a2,ಜಾಗರೂಕತೆ,jāgarūkate
care (upkeep),N/A,noun,a2,ಪಾಲನೆ,pālane
"to care (about something, someone)",intransitive,verb,a2,ಕಾಳಜಿ ಮಾಡು,kāḷaji māḍu
"to care (for, to look after)",transitive,verb,a2,ನೋಡಿಕೋ,nōḍikō
career,N/A,noun,a1,ವೃತ್ತಿ,vr̥tti
"careful (diligent, detailed)",N/A,adjective,a2,ಜಾಗರೂಕ,jāgarūka
carefully (meticulously),N/A,adverb,a2,ಜಾಗರೂಕತೆಯಿಂದ,jāgarūkateyiṁda
"careless (indifferent, apathetic)",N/A,adjective,b1,ನಿರ್ಲಕ್ಷ್ಯದ,nirlakṣyada
cargo,N/A,noun,c1,ಸರಕು,saraku
carpet,N/A,noun,a2,ಕಾರ್ಪೆಟ್,kārpeṭ
carriage (bearing or posture),N/A,noun,c1,ನಿಲುವು,niluvu
carriage (train coach),N/A,noun,c1,ಬೋಗಿ,bōgi
carrot,N/A,noun,a1,ಗಜ್ಜರಿ,gajjari
to carry (on the head),transitive,verb,a1,ಹೊರು,horu
to carry (a child),transitive,verb,a1,ಹೊತ್ತುಕೊ,hottuko
cartoon (satirical drawing),N/A,noun,b1,ವ್ಯಂಗ್ಯಚಿತ್ರ,vyaṁgyacitra
"to carve (to sculpt, engrave)",transitive,verb,c1,ಕೆತ್ತು,kettu
to carve (to slice cooked meat),transitive,verb,c1,ಕತ್ತರಿಸು,kattarisu
case (situation or instance),N/A,noun,a2,ಸಂದರ್ಭ,saṁdarbha
case (legal matter),N/A,noun,a2,ಮೊಕದ್ದಮೆ / ಕೇಸು,mokaddame / kēsu
case (container or covering),N/A,noun,a2,ಪೆಟ್ಟಿಗೆ / ಕವಚ,peṭṭige / kavaca
"cash (loanword, commerce)",N/A,noun,a2,ನಗದು / ಕ್ಯಾಶ್,nagadu / kyāś
casino,N/A,noun,c1,ಜೂಜಾಟದ ಮನೆ,jūjāṭada mane
cast (medical),N/A,noun,b2,ಪ್ಲಾಸ್ಟರ್,plāsṭar
cast (actors),N/A,noun,b2,ಪಾತ್ರವರ್ಗ,pātravarga
to cast (a fishing line or net),transitive,verb,b2,ಬೀಸು,bīsu
to cast (a shadow or light),transitive,verb,b2,ಚೆಲ್ಲು,cellu
to cast (molten metal or a sculpture),transitive,verb,b2,ಎರಕ ಹೊಯ್,eraka hoy
to cast (an actor in a role),transitive,verb,b2,ಆಯ್ಕೆ ಮಾಡು,āyke māḍu
to cast (a vote),transitive,verb,b2,ಮತ ಹಾಕು,mata hāku
castle (chess piece),N/A,noun,b1,ರುಕ್ / ಕೋಟೆ,ruk / kōṭe
"casual (informal, relaxed)",N/A,adjective,b2,ಅನೌಪಚಾರಿಕ,anaupacārika
"casual (accidental, chance)",N/A,adjective,b2,ಆಕಸ್ಮಿಕ,ākasmika
"casual (temporary, non-permanent)",N/A,adjective,b2,ತಾತ್ಕಾಲಿಕ,tātkālika
casualty (person injured or killed),N/A,noun,c1,ಸಾವು-ನೋವು,sāvu-nōvu
casualty (loss or damage),N/A,noun,c1,ನಷ್ಟ / ಹಾನಿ,naṣṭa / hāni
cat,N/A,noun,a1,ಬೆಕ್ಕು,bekku
to catalogue,transitive,noun,c1,ಪಟ್ಟಿಮಾಡು,paṭṭimāḍu
"catch (fastener, latch)",N/A,noun,b2,ಚಿಲಕ,cilaka
"catch (hidden problem, stipulation)",N/A,noun,b2,ತೊಂದರೆ,toṁdare
to catch (an illness),transitive,verb,a2,ಸೋಂಕು ತಗುಲು,sōṁku tagulu
to catch (transportation),transitive,verb,a2,ಹಿಡಿ,hiḍi
to check (to verify or examine),transitive,verb,a1,ಪರೀಕ್ಷಿಸು,parīkṣisu
to check (to tick or mark an item),transitive,verb,a1,ಗುರುತು ಮಾಡು,gurutu māḍu
to check (to control or limit),transitive,verb,a2,ನಿಯಂತ್ರಿಸು,niyaṁtrisu
cheek (impudence),N/A,noun,b2,ಧೃಷ್ಟತೆ,dhr̥ṣṭate
cheer (shout of approval),N/A,noun,b2,ಉತ್ಸಾಹ ಧ್ವನಿ,utsāha dhvani
"cheer (good spirits, happiness)",N/A,noun,b2,ಸಂತೋಷ,saṁtōṣa
to cheer (to make happy; lift spirits),transitive,verb,b2,ಉಲ್ಲಾಸಗೊಳಿಸು,ullāsagoḷisu
"cheerful (place, atmosphere)",N/A,adjective,b1,ಉಲ್ಲಾಸಕರ,ullāsakara
cheese,N/A,noun,a1,ಚೀಸ್,cīs
"chef (professional, head cook)",N/A,noun,a2,ಶೆಫ್,śeph
chef,N/A,noun,a2,ಪ್ರಧಾನ ಅಡುಗೆದಾರ,pradhāna aḍugedāra
cook (general occupation),N/A,noun,a2,ಅಡುಗೆದಾರ,aḍugedāra
chemical,N/A,adjective,b1,ರಾಸಾಯನಿಕ,rāsāyanika
chemical,N/A,noun,b1,ರಾಸಾಯನಿಕ ವಸ್ತು,rāsāyanika vastu
chemistry (science subject),N/A,noun,a2,ರಸಾಯನ ಶಾಸ್ತ್ರ,rasāyana śāstra
chemistry (relationship connection),N/A,noun,b1,ಪರಸ್ಪರ ಆಕರ್ಷಣೆ,paraspara ākarṣaṇe
chest (body part),N/A,noun,b1,ಎದೆ,ede
chest (storage box),N/A,noun,b1,ಪೆಟ್ಟಿಗೆ,peṭṭige
chicken (animal),N/A,noun,a1,ಕೋಳಿ,kōḷi
chicken (meat),N/A,noun,a1,ಕೋಳಿ ಮಾಂಸ,kōḷi māṁsa
"chief (main, principal)",N/A,adjective,b2,ಮುಖ್ಯ,mukhya
chief (highest in rank),N/A,adjective,b2,ಪ್ರಧಾನ,pradhāna
chief,N/A,noun,b2,ಮುಖ್ಯಸ್ಥ,mukhyastha
baby,N/A,noun,a1,ಕೂಸು,kūsu
childhood,N/A,noun,b1,ಬಾಲ್ಯ,bālya
chip (fragment),N/A,noun,a2,ಚೂರು,cūru
"chip (food, snack)",N/A,noun,a2,ಚಿಪ್ಸ್,cips
chip (electronic component),N/A,noun,a2,ಚಿಪ್,cip
chocolate,N/A,noun,a1,ಚಾಕೊಲೇಟ್,cākolēṭ
choice,N/A,noun,a2,ಆಯ್ಕೆ,āyke
choir (architectural section),N/A,noun,b2,ಗಾಯಕರ ಪ್ರದೇಶ,gāyakara pradēśa
to choose,transitive,verb,a1,ಆರಿಸು,ārisu
to chop (wood or large items),transitive,verb,b2,ಕಡಿಯು,kaḍiyu
to chop (vegetables or food),transitive,verb,b2,ಹೆಚ್ಚು,heccu
chronic (illness or condition),N/A,adjective,c1,ದೀರ್ಘಕಾಲದ,dīrghakālada
"chronic (habitual, inveterate)",N/A,adjective,c1,ತೀವ್ರವಾದ / ರೂಢಿಯಾದ,tīvravāda / rūḍhiyāda
chunk (piece of material),N/A,noun,c1,ದೊಡ್ಡ ತುಂಡು,doḍḍa tuṁḍu
"chunk (large amount, portion)",N/A,noun,c1,ಬಹುಪಾಲು,bahupālu
church,N/A,noun,a2,ಚರ್ಚ್ / ಕ್ರೈಸ್ತಮಂದಿರ,carc / kraistamaṁdira
cigarette,N/A,noun,a2,ಸಿಗರೇಟ್,sigarēṭ
movie theatre,N/A,noun,a1,ಸಿನಿಮಾ ಮಂದಿರ / ಟಾಕೀಸ್,sinimā maṁdira / ṭākīs
circle (social group),N/A,noun,a2,ವಲಯ / ಬಳಗ,valaya / baḷaga
to circle (move around),intransitive,verb,a2,ಸುತ್ತು,suttu
to circle (draw a ring around),transitive,verb,a2,ವೃತ್ತ ಹಾಕು,vr̥tta hāku
circuit (electrical),N/A,noun,b2,ವಿದ್ಯುನ್ಮಂಡಲ / ಸರ್ಕ್ಯೂಟ್,vidyunmaṁḍala / sarkyūṭ
"circuit (route, tour)",N/A,noun,b2,ಆವರ್ತ,āvarta
to circulate (information or rumors),intransitive,verb,c1,ಹರಡು,haraḍu
"to circulate (physically, like blood or air)",intransitive,verb,c1,ಸಂಚರಿಸು / ಹರಿಯು,saṁcarisu / hariyu
to circulate (money or currency),intransitive,verb,c1,ಚಲಾವಣೆಯಲ್ಲಿರು,calāvaṇeyalliru
"circulation (movement, flow)",N/A,noun,c1,ಸಂಚಾರ / ಪ್ರಸರಣೆ,saṁcāra / prasaraṇe
circulation (publication count),N/A,noun,c1,ಪ್ರಸಾರದ ಸಂಖ್ಯೆ,prasārada saṁkhye
circumstance,N/A,noun,b2,ಪರಿಸ್ಥಿತಿ / ಸಂದರ್ಭ,paristhiti / saṁdarbha
to cite,transitive,verb,b2,ಉಲ್ಲೇಖಿಸು,ullēkhisu
"citizen (of a city, town, municipal focus)",N/A,noun,b2,ನಗರವಾಸಿ / ಪಟ್ಟಣವಾಸಿ,nagaravāsi / paṭṭaṇavāsi
citizenship,N/A,noun,c1,ಪೌರತ್ವ / ನಾಗರಿಕತ್ವ,pauratva / nāgarikatva
city,N/A,noun,a1,ನಗರ,nagara
civic (relating to citizen duty),N/A,adjective,c1,ನಾಗರಿಕ,nāgarika
civic (relating to city administration),N/A,adjective,c1,ಪೌರಸಭೆಯ / ನಾಗರಿಕ,paurasabheya / nāgarika
civil (polite behavior),N/A,adjective,b2,ಸಭ್ಯ / ವಿನಯದ,sabhya / vinayada
"civil (relating to citizens, non-military)",N/A,adjective,b2,ನಾಗರಿಕ,nāgarika
civil (legal context),N/A,adjective,b2,ನಾಗರಿಕ / ಸಿವಿಲ್,nāgarika / sivil
civilian (person),N/A,adjective,c1,ನಾಗರಿಕ,nāgarika
civilian,N/A,noun,c1,ನಾಗರಿಕ,nāgarika
civilization,N/A,noun,b2,ನಾಗರಿಕತೆ,nāgarikate
claim (formal demand),N/A,noun,b1,ಹಕ್ಕು,hakku
insurance claim,N/A,noun,b1,ವಿಮಾ ಹಕ್ಕು,vimā hakku
claim (assertion of truth),N/A,noun,b1,ವಾದ / ಹೇಳಿಕೆ,vāda / hēḷike
"to claim (right, possession)",transitive,verb,b1,ಹಕ್ಕು ಸಾಧಿಸು,hakku sādhisu
to claim (assert a fact),transitive,verb,b1,ವಾದಿಸು,vādisu
to clarify,transitive,verb,b2,ಸ್ಪಷ್ಟೀಕರಿಸು,spaṣṭīkarisu
clarity,N/A,noun,c1,ಸ್ಪಷ್ಟತೆ,spaṣṭate
clash (of colors or styles),N/A,noun,c1,ಹೊಂದಾಣಿಕೆಯಾಗದಿರುವುದು,hoṁdāṇikeyāgadiruvudu
clash (scheduling conflict),N/A,noun,c1,ಸಮಯದ ಸಂಘರ್ಷ,samayada saṁgharṣa
"class (lesson, session)",N/A,noun,a1,ತರಗತಿ,taragati
class (grade level),N/A,noun,a1,ತರಗತಿ,taragati
"classic (standard-setting, high quality)",N/A,adjective,b2,ಶ್ರೇಷ್ಠ / ಸಾರ್ವಕಾಲಿಕ,śrēṣṭha / sārvakālika
classic (relating to antiquity or formal study),N/A,adjective,b2,ಶಾಸ್ತ್ರೀಯ,śāstrīya
classic (literary or artistic work),N/A,noun,b2,ಶ್ರೇಷ್ಠ ಕೃತಿ,śrēṣṭha kr̥ti
classic (timeless style or item),N/A,noun,b2,ಕ್ಲಾಸಿಕ್,klāsik
classical,N/A,adjective,a2,ಶಾಸ್ತ್ರೀಯ,śāstrīya
classification,N/A,noun,c1,ವರ್ಗೀಕರಣ,vargīkaraṇa
to classify,transitive,verb,b2,ವರ್ಗೀಕರಿಸು,vargīkarisu
classroom,N/A,noun,a1,ತರಗತಿ ಕೋಣೆ,taragati kōṇe
clause (grammatical unit),N/A,noun,b1,ಉಪವಾಕ್ಯ,upavākya
"clause (provision, condition)",N/A,noun,b1,ಶರತ್ತು / ವಿಧಿ,śarattu / vidhi
to clean,transitive,adjective,a1,ಸ್ವಚ್ಛ ಮಾಡು,svaccha māḍu
"to wipe clean (surface, spill)",transitive,verb,a1,ಒರೆಸು,oresu
"cleaning (purification, making pure)",N/A,noun,a2,ಶುದ್ಧೀಕರಣ,śuddhīkaraṇa
clear (transparent),N/A,adjective,a2,ಸ್ವಚ್ಛ / ನಿರ್ಮಲ,svaccha / nirmala
clear (explicit),N/A,adjective,a2,ಸ್ಪಷ್ಟ,spaṣṭa
"to clear (remove clutter, empty)",transitive,verb,b1,ತೆಗೆದು ಹಾಕು / ಖಾಲಿ ಮಾಡು,tegedu hāku / khāli māḍu
"to clear (become clear, go away)",intransitive,verb,b1,ಪರಿಹಾರವಾಗು,parihāravāgu
"to clear (to approve, pass)",transitive,verb,b2,ಅನುಮೋದಿಸು,anumōdisu
clearly (evidently),N/A,adverb,a2,ಸ್ಪಷ್ಟವಾಗಿ,spaṣṭavāgi
clerk (government administrative role),N/A,noun,b2,ಕರಣಿಕ,karaṇika
"clerk (general, older term)",N/A,noun,b2,ಗುಮಾಸ್ತ,gumāsta
clever (cunning),N/A,adjective,a2,ಕುತಂತ್ರಿ,kutaṁtri
click,N/A,noun,b1,ಕ್ಲಿಕ್,klik
to click (a mouse button),transitive,verb,b1,ಕ್ಲಿಕ್ ಮಾಡು,klik māḍu
to click (a photograph),transitive,verb,b1,ಫೋಟೋ ತೆಗೆ,phōṭō tege
"client (computing, software)",N/A,noun,b1,ಕ್ಲೈಂಟ್,klaiṁṭ
cliff,N/A,noun,b2,ಕಡಿದಾದ ಬಂಡೆ,kaḍidāda baṁḍe
climate (atmosphere or environment),N/A,noun,b1,ಹವಾಗುಣ,havāguṇa
"climate (mood, environment)",N/A,noun,b1,ವಾತಾವರಣ,vātāvaraṇa
climb (act of ascending),N/A,noun,b1,ಏರಿಕೆ / ಹತ್ತುವಿಕೆ,ērike / hattuvike
climb (steep section of road),N/A,noun,b1,ಏರು,ēru
to climb,N/A,verb,a1,ಏರು / ಹತ್ತು,ēru / hattu
to cling (to hold on tightly),intransitive,verb,c1,ಬಿಗಿಯಾಗಿ ಹಿಡಿದುಕೊಳ್ಳು,bigiyāgi hiḍidukoḷḷu
to cling (to an idea or belief),intransitive,verb,c1,ಅಂಟಿಕೊಂಡಿರು,aṁṭikoṁḍiru
clinic,N/A,noun,b2,ಕ್ಲಿನಿಕ್ / ಚಿಕಿತ್ಸಾಲಯ,klinik / cikitsālaya
clinical (medical),N/A,adjective,c1,ವೈದ್ಯಕೀಯ,vaidyakīya
clinical (detached),N/A,adjective,c1,ಭಾವನಾ ರಹಿತ,bhāvanā rahita
"clip (of video, audio)",N/A,noun,b2,ಕ್ಲಿಪ್ / ತುಣುಕು,klip / tuṇuku
clip (ammunition holder),N/A,noun,b2,ಮದ್ದುಗುಂಡು ಪಟ್ಟಿ,madduguṁḍu paṭṭi
clock (wall or desk timepiece),N/A,noun,a1,ಗಡಿಯಾರ,gaḍiyāra
watch (wristwatch),N/A,noun,a1,ಕೈ ಗಡಿಯಾರ,kai gaḍiyāra
close (intimate),N/A,adjective,a2,ಆತ್ಮೀಯ,ātmīya
close,N/A,adverb,b1,ಹತ್ತಿರ,hattira
close,N/A,noun,b2,ಅಂತ್ಯ / ಮುಕ್ತಾಯ,aṁtya / muktāya
to close (an establishment or session),intransitive,verb,a1,ಮುಚ್ಚು,muccu
closed (shut physically),N/A,adjective,a2,ಮುಚ್ಚಿದ,muccida
closed (not open for business),N/A,adjective,a2,ಮುಚ್ಚಿದ,muccida
closely (attentively),N/A,adverb,b2,ಸೂಕ್ಷ್ಮವಾಗಿ,sūkṣmavāgi
"closely (in relationship, linking)",N/A,adverb,b2,ನಿಕಟವಾಗಿ,nikaṭavāgi
closure (physical closing),N/A,noun,c1,ಮುಚ್ಚುವಿಕೆ / ಸ್ಥಗಿತ,muccuvike / sthagita
closure (emotional resolution),N/A,noun,c1,ಸಮಾಧಾನ / ಪರಿಹಾರ,samādhāna / parihāra
cloth (garment or formal attire),N/A,noun,b1,ವಸ್ತ್ರ,vastra
cloth (rag or cleaning duster),N/A,noun,b1,ಅರಿವೆ,arive
"clothes (garments, apparel)",N/A,noun,a1,ಬಟ್ಟೆಗಳು,baṭṭegaḷu
"clothing (formal, literary)",N/A,noun,a2,ವಸ್ತ್ರಗಳು / ಉಡುಪು,vastragaḷu / uḍupu
cloud,N/A,noun,a2,ಮೋಡ,mōḍa
club (organization),N/A,noun,a1,ಕ್ಲಬ್ / ಸಂಸ್ಥೆ,klab / saṁsthe
club (venue),N/A,noun,a1,ನೈಟ್ಕ್ಲಬ್,naiṭklab
clue,N/A,noun,b1,ಸುಳಿವು,suḷivu
"cluster (abstract, technical)",N/A,noun,c1,ಗುಚ್ಛ / ಸಮೂಹ,guccha / samūha
"coach (trainer, instructor)",N/A,noun,a2,ತರಬೇತುದಾರ,tarabētudāra
coach (long-distance bus or train carriage),N/A,noun,a2,ಬೋಗಿ,bōgi
"to coach (sports, training)",transitive,verb,b1,ತರಬೇತಿ ನೀಡು,tarabēti nīḍu
"to coach (to tutor, instruct)",transitive,verb,b1,ಬೋಧಿಸು / ತರಬೇತಿ ಕೊಡು,bōdhisu / tarabēti koḍu
coal (fossil fuel),N/A,noun,b1,ಕಲ್ಲಿದ್ದಲು,kalliddalu
charcoal,N/A,noun,b1,ಇದ್ದಿಲು,iddilu
coalition,N/A,noun,c1,ಮೈತ್ರಿಕೂಟ,maitrikūṭa
coast,N/A,noun,a2,ಕರಾವಳಿ,karāvaḷi
coastal,N/A,adjective,c1,ಕರಾವಳಿ,karāvaḷi
coat (layer),N/A,noun,a2,ಪದರ,padara
cocktail (mixed drink),N/A,noun,c1,ಕಾಕ್ಟೇಲ್,kākṭēl
"cocktail (party, event)",N/A,noun,c1,ಕಾಕ್ಟೇಲ್ ಪಾರ್ಟಿ,kākṭēl pārṭi
code (system of laws or rules),N/A,noun,a2,ಸಂಹಿತೆ,saṁhite
code (computer instructions),N/A,noun,a2,ಕೋಡ್,kōḍ
coffee,N/A,noun,a1,ಕಾಫಿ,kāphi
cognitive,N/A,adjective,c1,ಅರಿವಿನ,arivina
coin,N/A,noun,b1,ನಾಣ್ಯ,nāṇya
to coincide (happen simultaneously),intransitive,verb,c1,ಏಕಕಾಲದಲ್ಲಿ ನಡೆ,ēkakāladalli naḍe
to coincide (be in agreement),intransitive,verb,c1,ಹೊಂದಾಣಿಕೆಯಾಗು,hoṁdāṇikeyāgu
coincidence,N/A,noun,b2,ಕಾಕತಾಳೀಯ,kākatāḷīya
"cold (temperature, unpleasant)",N/A,adjective,a1,ಚಳಿಯಾದ,caḷiyāda
"cold (cool, refreshing)",N/A,adjective,a1,ತಂಪಾದ,taṁpāda
cold (illness),N/A,noun,a1,ನೆಗಡಿ,negaḍi
cold (low temperature),N/A,noun,a1,ಚಳಿ,caḷi
to collaborate (as a formal partner),intransitive,verb,c1,ಸಹಭಾಗಿತ್ವ ಮಾಡು,sahabhāgitva māḍu
"collaboration (teamwork, partnership)",N/A,noun,c1,ಸಹಯೋಗ,sahayōga
"collaboration (with the enemy, collusion)",N/A,noun,c1,ದೇಶದ್ರೋಹದ ಸಹಕಾರ,dēśadrōhada sahakāra
collusion,N/A,noun,c1,ಕುಮ್ಮಕ್ಕು,kummakku
collapse,N/A,noun,b2,ಕುಸಿತ,kusita
"collapse (market, health)",N/A,noun,b2,ಪತನ,patana
"to collapse (from exhaustion, illness)",intransitive,verb,b2,ಬಿದ್ದುಹೋಗು,bidduhōgu
"to collapse (negotiations, system)",intransitive,verb,b2,ವಿಫಲವಾಗು,viphalavāgu
colleague,N/A,noun,a2,ಸಹೋದ್ಯೋಗಿ,sahōdyōgi
"to collect (gather together, assemble)",intransitive,verb,a2,ಸೇರು,sēru
"to collect (payment, debt)",transitive,verb,a2,ವಸೂಲಿ ಮಾಡು,vasūli māḍu
"to collect (items, information)",transitive,verb,a2,ಸಂಗ್ರಹಿಸು,saṁgrahisu
collection (of funds or debt),N/A,noun,b1,ವಸೂಲಿ,vasūli
"collection (of items, art, stamps)",N/A,noun,b1,ಸಂಗ್ರಹ,saṁgraha
collective,N/A,adjective,c1,ಸಾಮೂಹಿಕ,sāmūhika
collector (District Administrative Officer),N/A,noun,b2,ಜಿಲ್ಲಾಧಿಕಾರಿ,jillādhikāri
"collector (of stamps, items, etc.)",N/A,noun,b2,ಸಂಗ್ರಾಹಕ,saṁgrāhaka
college,N/A,noun,a1,ಕಾಲೇಜು,kālēju
collision (physical impact),N/A,noun,c1,ಡಿಕ್ಕಿ,ḍikki
"collision (clash of interests, ideas)",N/A,noun,c1,ಸಂಘರ್ಷ,saṁgharṣa
colonial,N/A,adjective,c1,ವಸಾಹತು,vasāhatu
colony (political state),N/A,noun,b2,ವಸಾಹತು,vasāhatu
colony (residential area),N/A,noun,b2,ಕಾಲೋನಿ,kālōni
colour,N/A,noun,a1,ಬಣ್ಣ,baṇṇa
coloured,N/A,adjective,b1,ಬಣ್ಣದ,baṇṇada
"colourful (vivid, dramatic)",N/A,adjective,b2,ರೋಚಕ,rōcaka
column (pillar or support),N/A,noun,a2,ಕಂಬ / ಸ್ತಂಭ,kaṁba / staṁbha
column (in a table or spreadsheet),N/A,noun,a2,ಕಾಲಂ,kālaṁ
column (newspaper feature),N/A,noun,a2,ಅಂಕಣ,aṁkaṇa
columnist,N/A,noun,c1,ಅಂಕಣಕಾರ,aṁkaṇakāra
combat,N/A,noun,c1,ಹೋರಾಟ / ಯುದ್ಧ,hōrāṭa / yuddha
to combat (a problem or issue),transitive,verb,c1,ಹೋರಾಡು,hōrāḍu
to combat (a disease or issue),transitive,verb,c1,ನಿಗ್ರಹಿಸು,nigrahisu
combination (code or sequence),N/A,noun,b2,ಸಂಯೋಜನೆ,saṁyōjane
to combine (to join or integrate),transitive,verb,b1,ಸೇರಿಸು,sērisu
"to combine (concepts, integrate)",transitive,verb,b1,ಸಂಯೋಜಿಸು,saṁyōjisu
