id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
28,classic (literary or artistic work),noun,b2,nan,ಶ್ರೇಷ್ಠ ಕೃತಿ / ಮೇರುಕೃತಿ,śrēṣṭha kr̥ti / mērukr̥ti
29,classic (timeless style or item),noun,b2,nan,ಕ್ಲಾಸಿಕ್ / ಶಾಶ್ವತ ಶೈಲಿ,klāsik / śāśvata śaili
30,classical,adjective,a2,nan,ಶಾಸ್ತ್ರೀಯ,śāstrīya
31,classification,noun,c1,nan,ವರ್ಗೀಕರಣ,vargīkaraṇa
32,to classify,verb,b2,transitive,ವರ್ಗೀಕರಿಸು,vargīkarisu
33,classroom,noun,a1,nan,ತರಗತಿ ಕೊಠಡಿ / ತರಗತಿ ಕೋಣೆ,taragati koṭhaḍi / taragati kōṇe
34,clause (grammatical unit),noun,b1,nan,ವಾಕ್ಯಾಂಶ / ಉಪವಾಕ್ಯ,vākyāṁśa / upavākya
35,"clause (provision, condition)",noun,b1,nan,ಷರತ್ತು / ವಿಧಿ,ṣarattu / vidhi
36,to clean,adjective,a1,transitive,ಸ್ವಚ್ಛಗೊಳಿಸು / ಶುಚಿಗೊಳಿಸು,svacchagoḷisu / śucigoḷisu
37,"to wipe clean (surface, spill)",verb,a1,transitive,ಒರೆಸು,oresu
38,"cleaning (purification, making pure)",noun,a2,nan,ಸ್ವಚ್ಛಗೊಳಿಸುವಿಕೆ / ಶುದ್ಧೀಕರಣ / ಶುಚಿತ್ವ,svacchagoḷisuvike / śuddhīkaraṇa / śucitva
39,clear (transparent),adjective,a2,nan,ಪಾರದರ್ಶಕ / ಸ್ಪಷ್ಟ,pāradarśaka / spaṣṭa
40,clear (explicit),adjective,a2,nan,ಸ್ಪಷ್ಟ / ನಿಖರ,spaṣṭa / nikhara
41,"to clear (remove clutter, empty)",verb,b1,transitive,ತೆರವುಗೊಳಿಸು / ಖಾಲಿ ಮಾಡು,teravugoḷisu / khāli māḍu
42,"to clear (become clear, go away)",verb,b1,intransitive,ಸ್ಪಷ್ಟವಾಗು / ನಿವಾರಣೆಯಾಗು,spaṣṭavāgu / nivāraṇeyāgu
43,"to clear (to approve, pass)",verb,b2,transitive,ಅನುಮೋದಿಸು / ಅನುಮತಿ ನೀಡು,anumōdisu / anumati nīḍu
44,clearly (evidently),adverb,a2,nan,ಸ್ಪಷ್ಟವಾಗಿ / ನಿಸ್ಸಂದೇಹವಾಗಿ,spaṣṭavāgi / nissaṁdēhavāgi
45,clerk (government administrative role),noun,b2,nan,ಗುಮಾಸ್ತ / ಕಾರಕೂನ,gumāsta / kārakūna
46,"clerk (general, older term)",noun,b2,nan,ಗುಮಾಸ್ತ / ಕಚೇರಿ ಸಹಾಯಕ,gumāsta / kacēri sahāyaka
47,clever (cunning),adjective,a2,nan,ಜಾಣ / ಚುರುಕು / ಬುದ್ಧಿವಂತ,jāṇa / curuku / buddhivaṁta
48,click,noun,b1,nan,ಕ್ಲಿಕ್ / ಶಬ್ದ,klik / śabda
49,to click (a mouse button),verb,b1,transitive,ಕ್ಲಿಕ್ ಮಾಡು,klik māḍu
50,to click (a photograph),verb,b1,transitive,ಕ್ಲಿಕ್ ಮಾಡು / ಚಿತ್ರ ತೆಗೆ / ಛಾಯಾಚಿತ್ರ ತೆಗೆ,klik māḍu / citra tege / chāyācitra tege
51,collapse,noun,b2,nan,ಕುಸಿತ / ಪತನ,kusita / patana
52,"collapse (market, health)",noun,b2,nan,ಕುಸಿತ / ಪತನ / ಅಧಃಪತನ,kusita / patana / adhaḥpatana
53,to come (respectful address),verb,a1,intransitive,ಬಾ,bā
54,to auction,noun,b2,transitive,ಹರಾಜು ಹಾಕು / ಹರಾಜು ಮಾಡು,harāju hāku / harāju māḍu
55,auction (event),noun,b2,nan,ಹರಾಜು / ಸರಕು ಮಾರಾಟ,harāju / saraku mārāṭa
56,audience (formal meeting),noun,a2,nan,ಸಭಿಕರು / ಶ್ರೋತೃಗಳು / ಪ್ರೇಕ್ಷಕರು,sabhikaru / śrōtr̥gaḷu / prēkṣakaru
57,audit,noun,c1,nan,ಲೆಕ್ಕಪರಿಶೋಧನೆ / ಆಡಿಟ್,lekkapariśōdhane / āḍiṭ
58,august,noun,a1,nan,ಆಗಸ್ಟ್,āgasṭ
59,aunt (mother's younger sister),noun,a1,nan,ಚಿಕ್ಕಮ್ಮ,cikkamma
60,aunt (mother's elder sister),noun,a1,nan,ದೊಡ್ಡಮ್ಮ,doḍḍamma
61,aunt (father's sister),noun,a1,nan,ಅತ್ತೆ,atte
62,"auto (autorickshaw, complete name)",noun,c1,nan,ಆಟೋ ರಿಕ್ಷಾ,āṭō rikṣā
63,auto (common usage),noun,a1,nan,ಆಟೋ,āṭō
64,automatic (self-operating mechanism),adjective,b2,nan,ಸ್ವಯಂಚಾಲಿತ / ಆಟೋಮ್ಯಾಟಿಕ್,svayaṁcālita / āṭōmyāṭik
65,"automatically (mechanically, systematically)",adverb,b2,nan,ಸ್ವಯಂಚಾಲಿತವಾಗಿ / ತಾನಾಗಿಯೇ / ಆಟೋಮ್ಯಾಟಿಕ್ ಆಗಿ,svayaṁcālitavāgi / tānāgiyē / āṭōmyāṭik āgi
66,autumn,noun,a1,nan,ಶರತ್ಕಾಲ,śaratkāla
67,average (statistical mean),adjective,a2,nan,ಸರಾಸರಿ / ಸಾಮಾನ್ಯ,sarāsari / sāmānya
68,to average (calculate the mean),verb,b1,transitive,ಸರಾಸರಿ ತೆಗೆ / ಸರಾಸರಿ ಮಾಡು,sarāsari tege / sarāsari māḍu
69,biological (parentage),adjective,b2,nan,ಜೈವಿಕ / ರಕ್ತಸಂಬಂಧಿ,jaivika / raktasaṁbaṁdhi
70,bit,noun,a2,nan,ಸ್ವಲ್ಪ / ತುಂಡು / ಅಂಶ,svalpa / tuṁḍu / aṁśa
71,black (illicit),noun,a2,nan,ಕಪ್ಪು / ಅಕ್ರಮ,kappu / akrama
72,blank,noun,a2,nan,ಖಾಲಿ / ಶೂನ್ಯ / ಬಿಟ್ಟ ಸ್ಥಳ,khāli / śūnya / biṭṭa sthaḷa
73,another,determiner,a1,nan,ಮತ್ತೊಂದು / ಇನ್ನೊಂದು / ಬೇರೆ,mattoṁdu / innoṁdu / bēre
74,to answer (a telephone or door),verb,a1,transitive,ತೆಗೆ / ಉತ್ತರಿಸು / ಪ್ರತ್ಯುತ್ತರ ನೀಡು,tege / uttarisu / pratyuttara nīḍu
75,any (zero quantity),pronoun,a1,nan,ಯಾವುದೂ,yāvudū
76,"any more (time, cessation)",adverb,a2,nan,ಇನ್ನಿಲ್ಲ / ಇನ್ನು ಮುಂದೆ ಇಲ್ಲ,innilla / innu muṁde illa
77,anywhere,adverb,a2,nan,ಎಲ್ಲಾದರೂ / ಎಲ್ಲೆಡೆ,ellādarū / elleḍe
78,anywhere (in questions or possibilities),pronoun,a2,nan,ಎಲ್ಲಾದರೂ,ellādarū
79,anywhere (in negative statements),pronoun,a2,nan,ಎಲ್ಲೂ,ellū
80,appetite (for food),noun,c1,nan,ಹಸಿವು / ಆಹಾರದ ಬಯಕೆ,hasivu / āhārada bayake
81,apple,noun,a1,nan,ಸೇಬು,sēbu
82,to born,verb,a1,nan,ಹುಟ್ಟು,huṭṭu
83,bread,noun,a1,nan,ಬ್ರೆಡ್,breḍ
84,"bread (general flatbread, roti)",noun,a1,nan,ರೊಟ್ಟಿ / ಚಪಾತಿ,roṭṭi / capāti
85,to break (a rule or promise),verb,a1,transitive,ಮುರಿ / ಉಲ್ಲಂಘಿಸು,muri / ullaṁghisu
86,baseball (the ball),noun,a2,nan,ಬೇಸ್‌ಬಾಲ್,bēsbāl
87,"basic (simple, rudimentary)",adjective,b1,nan,ಮೂಲಭೂತ / ಪ್ರಾಥಮಿಕ / ಸರಳ,mūlabhūta / prāthamika / saraḷa
88,basketball (the physical ball),noun,a2,nan,ಬಾಸ್ಕೆಟ್‌ಬಾಲ್,bāskeṭbāl
89,to be (to exist or be located),verb,a1,intransitive,ಇರು,iru
90,to be (to become or define identity),verb,a1,intransitive,ಆಗು,āgu
91,"to be (to exist, be located)",auxiliary verb,a1,intransitive,ಇರು,iru
92,"to be (identity, copula)",auxiliary verb,a1,intransitive,ಆಗು,āgu
93,"to be (identity, copula, negative)",auxiliary verb,a1,intransitive,ಅಲ್ಲ,alla
94,"(It) is not (identity, copula negation)",auxiliary verb,a1,nan,ಅಲ್ಲ,alla
95,"(It) is not (existence, location negation)",auxiliary verb,a1,nan,ಇಲ್ಲ,illa
96,bear,noun,a2,nan,ಕರಡಿ,karaḍi
97,beef,noun,a2,nan,ಗೋಮಾಂಸ / ಬೀಫ್,gōmāṁsa / bīph
98,beer,noun,a1,nan,ಬಿಯರ್,biyar
99,"before (time, sequence)",conjunction,a2,nan,ಮೊದಲು / ಪೂರ್ವ,modalu / pūrva
100,behind (remaining or lagging),preposition,a1,nan,ಹಿಂದೆ,hiṁde
101,below (less than),preposition,a1,nan,ಕೆಳಗೆ / ಕಡಿಮೆಗಿಂತ,keḷage / kaḍimegiṁta
102,adventure,noun,a2,nan,ಸಾಹಸ / ಸಾಹಸಮಯ ಕಾರ್ಯ,sāhasa / sāhasamaya kārya
103,advertising,noun,a2,nan,ಜಾಹೀರಾತು / ಪ್ರಚಾರ,jāhīrātu / pracāra
104,after (following time or event),preposition,a1,nan,ನಂತರ / ಆಮೇಲೆ / ಮೇಲೆ,naṁtara / āmēle / mēle
105,afternoon,noun,a1,nan,ಮಧ್ಯಾಹ್ನ / ಅಪರಾಹ್ನ,madhyāhna / aparāhna
106,ahead (to grant permission),adverb,b1,nan,ಮುಂದೆ,muṁde
107,go ahead,adverb,b1,nan,ಮುಂದುವರಿ / ಸಾಗು,muṁduvari / sāgu
108,to aid (provide official support or relief),verb,b2,transitive,ಸಹಾಯ ಮಾಡು / ನೆರವು ನೀಡು / ಬೆಂಬಲಿಸು,sahāya māḍu / neravu nīḍu / beṁbalisu
109,"alcohol (alcoholic drink , liquor)",noun,b1,nan,ಮದ್ಯ / ಸಾರಾಯಿ / ಕುಡಿತ,madya / sārāyi / kuḍita
110,alert (vigilant),noun,c1,nan,ಎಚ್ಚರಿಕೆ / ಜಾಗರೂಕತೆ,eccarike / jāgarūkate
111,to alert,noun,b2,transitive,ಎಚ್ಚರಿಸು / ತಿಳಿಸು,eccarisu / tiḷisu
112,to align (intr.),verb,c1,intransitive,ಹೊಂದಾಣಿಕೆ ಆಗು / ಸರಿಹೊಂದು,hoṁdāṇike āgu / sarihoṁdu
113,alike (both x and y),adjective,c1,nan,ಒಂದೇ ರೀತಿ / ಸಮಾನ / ಹೋಲುವ,oṁdē rīti / samāna / hōluva
114,alike (both X and Y),adverb,c1,nan,ಒಂದೇ ರೀತಿ / ಸಮಾನವಾಗಿ / ಹಾಗೆಯೇ,oṁdē rīti / samānavāgi / hāgeyē
115,all (quantifier),adverb,a2,nan,ಎಲ್ಲಾ / ಪೂರ್ತಿ,ellā / pūrti
116,all (pronoun),adverb,a2,nan,ಎಲ್ಲರೂ / ಎಲ್ಲವೂ,ellarū / ellavū
117,all (entire duration or quantity),determiner,a1,nan,ಎಲ್ಲಾ / ಪೂರ್ತಿ / ಸಮಸ್ತ,ellā / pūrti / samasta
118,all right (agreement),adverb,a2,nan,ಸರಿ / ಆಯ್ತು,sari / āytu
119,"all right (health, safety)",adverb,a2,nan,ಚೆನ್ನಾಗಿ / ಕ್ಷೇಮವಾಗಿ,cennāgi / kṣēmavāgi
120,all right (general agreement),exclamation,a2,nan,ಸರಿ / ಆಯ್ತು,sari / āytu
121,all right (formal assent),exclamation,a2,nan,ಸರಿ / ಆಗಲಿ,sari / āgali
122,"to cave (in) (yield, surrender)",noun,b2,intransitive,ಶರಣಾಗು / ಒಪ್ಪಿಕೊ / ಮಣಿದುಬಿಡು,śaraṇāgu / oppiko / maṇidubiḍu
123,to cave (in) (collapse),noun,b2,intransitive,ಕುಸಿದುಬೀಳು / ಬಿದ್ದುಹೋಗು,kusidubīḷu / bidduhōgu
124,cd,noun,a1,nan,ಸಿಡಿ,siḍi
125,cent (unit of land area),noun,a1,nan,ಸೆಂಟ್,seṁṭ
126,"centre (institution, hub)",noun,a1,nan,ಕೇಂದ್ರ / ಕೇಂದ್ರಸ್ಥಾನ,kēṁdra / kēṁdrasthāna
127,to centre (to place in the middle),verb,b1,transitive,ಮಧ್ಯದಲ್ಲಿ ಇಡು / ಕೇಂದ್ರೀಕರಿಸು,madhyadalli iḍu / kēṁdrīkarisu
128,"to centre (to focus, to revolve around)",verb,b1,intransitive,ಕೇಂದ್ರೀಕರಿಸು,kēṁdrīkarisu
129,century (100 years),noun,a1,nan,ಶತಮಾನ / ನೂರು ವರ್ಷಗಳು,śatamāna / nūru varṣagaḷu
130,century (cricket score),noun,a1,nan,ಶತಕ / ಸೆಂಚುರಿ,śataka / seṁcuri
131,"ceremony (event, function)",noun,b1,nan,ಸಮಾರಂಭ / ಕಾರ್ಯಕ್ರಮ,samāraṁbha / kāryakrama
132,"ceremony (religious rite, ritual)",noun,b1,nan,ಆಚರಣೆ / ವಿಧಿ / ಸಂಸ್ಕಾರ,ācaraṇe / vidhi / saṁskāra
133,"certain (sure, confident)",adjective,a2,nan,ಖಚಿತ / ನಿಶ್ಚಿತ / ದೃಢ,khacita / niścita / dr̥ḍha
134,certain (specific but unnamed),adjective,a2,nan,ಕೆಲವು / ನಿರ್ದಿಷ್ಟ,kelavu / nirdiṣṭa
135,"certainly (as a positive response, yes)",adverb,a2,nan,ಖಂಡಿತ / ಖಚಿತವಾಗಿ / ನಿಸ್ಸಂದೇಹವಾಗಿ,khaṁḍita / khacitavāgi / nissaṁdēhavāgi
136,certainty,noun,b2,nan,ಖಚಿತತೆ / ನಿಶ್ಚಿತತೆ / ದೃಢತೆ,khacitate / niścitate / dr̥ḍhate
137,certificate,noun,b2,nan,ಪ್ರಮಾಣಪತ್ರ / ಸರ್ಟಿಫಿಕೇಟ್,pramāṇapatra / sarṭiphikēṭ
138,"chain (physical object, like jewelry or security)",noun,b1,nan,ಸರಪಳಿ / ಚೈನ್,sarapaḷi / cain
139,chain (business or sequence of stores),noun,b1,nan,ಸರಣಿ / ಚೈನ್,saraṇi / cain
140,to chain (to link sequentially),verb,b2,transitive,ಜೋಡಿಸು / ಕೊಂಡಿ ಹಾಕು / ಸರಪಳಿ ಹಾಕು,jōḍisu / koṁḍi hāku / sarapaḷi hāku
141,chair (position of authority),noun,a2,nan,ಅಧ್ಯಕ್ಷ ಸ್ಥಾನ / ಪೀಠ,adhyakṣa sthāna / pīṭha
142,to chair,verb,b2,nan,ಅಧ್ಯಕ್ಷತೆ ವಹಿಸು / ನಡೆಸಿಕೊಡು,adhyakṣate vahisu / naḍesikoḍu
143,chairperson,noun,b2,nan,ಅಧ್ಯಕ್ಷ / ಅಧ್ಯಕ್ಷೆ / ಅಧ್ಯಕ್ಷರು,adhyakṣa / adhyakṣe / adhyakṣaru
144,chair (committee head),noun,b2,nan,ಅಧ್ಯಕ್ಷ / ಅಧ್ಯಕ್ಷೆ / ಅಧ್ಯಕ್ಷರು,adhyakṣa / adhyakṣe / adhyakṣaru
145,challenge (formal objection),noun,b2,nan,ಆಕ್ಷೇಪಣೆ / ಸವಾಲು,ākṣēpaṇe / savālu
146,"to challenge (to question a claim, decision)",verb,b2,transitive,ಪ್ರಶ್ನಿಸು / ಸವಾಲು ಹಾಕು / ಆಕ್ಷೇಪಿಸು,praśnisu / savālu hāku / ākṣēpisu
147,challenging (demanding effort),adjective,b2,nan,ಸವಾಲಿನ / ಶ್ರಮದಾಯಕ / ಕಷ್ಟಕರ,savālina / śramadāyaka / kaṣṭakara
148,challenging (very difficult),adjective,b2,nan,ಕಷ್ಟಕರ / ಸವಾಲಿನ,kaṣṭakara / savālina
149,chamber (legislative assembly),noun,c1,nan,ಸದನ / ಸಭಾಂಗಣ,sadana / sabhāṁgaṇa
150,chamber (internal cavity),noun,c1,nan,ಕೋಣೆ / ಕುಹರ,kōṇe / kuhara
151,chamber (formal room),noun,c1,nan,ಸಭಾಂಗಣ / ಕಕ್ಷ,sabhāṁgaṇa / kakṣa
152,champion (advocate),noun,b1,nan,ಸಮರ್ಥಕ / ಪ್ರತಿಪಾದಕ / ಬೆಂಬಲಿಗ,samarthaka / pratipādaka / beṁbaliga
153,championship (the event),noun,b2,nan,ಚಾಂಪಿಯನ್‌ಶಿಪ್ / ಪ್ರಶಸ್ತಿ ಸುತ್ತು / ಪಂದ್ಯಾವಳಿ,cāṁpiyanśip / praśasti suttu / paṁdyāvaḷi
154,chance (opportunity),noun,a2,nan,ಅವಕಾಶ / ಸದವಕಾಶ,avakāśa / sadavakāśa
155,chance (probability),noun,a2,nan,ಸಂಭವನೀಯತೆ / ಸಾಧ್ಯತೆ,saṁbhavanīyate / sādhyate
156,change (alteration),noun,a1,nan,ಬದಲಾವಣೆ / ಪರಿವರ್ತನೆ,badalāvaṇe / parivartane
157,change (money remainder),noun,a1,nan,ಚಿಲ್ಲರೆ / ಉಳಿದ ಹಣ,cillare / uḷida haṇa
158,"to change (state, condition)",verb,a1,intransitive,ಬದಲಾಗು,badalāgu
159,"to change (alter, replace something)",verb,a1,transitive,ಬದಲಿಸು / ಪರಿವರ್ತಿಸು / ಮಾರ್ಪಡಿಸು,badalisu / parivartisu / mārpaḍisu
160,channel (television station),noun,b1,nan,ಚಾನೆಲ್ / ವಾಹಿನಿ,cānel / vāhini
161,channel (waterway),noun,b1,nan,ಕಾಲುವೆ / ನಾಲೆ / ಜಲಮಾರ್ಗ,kāluve / nāle / jalamārga
162,channel (means of communication),noun,b1,nan,ಮಾಧ್ಯಮ / ಮಾರ್ಗ,mādhyama / mārga
163,chaos (anarchy),noun,c1,nan,ಅರಾಜಕತೆ / ಅವ್ಯವಸ್ಥೆ / ಗೊಂದಲ,arājakate / avyavasthe / goṁdala
164,chapter (period of time),noun,b1,nan,ಘಟ್ಟ / ಅವಧಿ / ಅಧ್ಯಾಯ,ghaṭṭa / avadhi / adhyāya
165,"character (personality, integrity)",noun,a2,nan,ವ್ಯಕ್ತಿತ್ವ / ಗುಣ / ಚಾರಿತ್ರ್ಯ,vyaktitva / guṇa / cāritrya
166,character (role in fiction),noun,a2,nan,ಪಾತ್ರ,pātra
167,characteristic (quality or feature),adjective,b2,nan,ವಿಶಿಷ್ಟ / ಲಕ್ಷಣಯುತ,viśiṣṭa / lakṣaṇayuta
168,characteristic,noun,b2,nan,ಗುಣಲಕ್ಷಣ / ವೈಶಿಷ್ಟ್ಯ / ಲಕ್ಷಣ,guṇalakṣaṇa / vaiśiṣṭya / lakṣaṇa
169,to characterize (to describe the features of),verb,c1,transitive,ವಿವರಿಸು / ಗುಣಲಕ್ಷಣಗಳನ್ನು ತಿಳಿಸು,vivarisu / guṇalakṣaṇagaḷannu tiḷisu
170,to characterize (to be the distinguishing feature of),verb,c1,transitive,ವೈಶಿಷ್ಟ್ಯವಾಗಿರು / ಗುಣಲಕ್ಷಣವಾಗಿರು,vaiśiṣṭyavāgiru / guṇalakṣaṇavāgiru
171,"charge (fee, cost)",noun,b1,nan,ಶುಲ್ಕ / ದರ / ವೆಚ್ಚ,śulka / dara / vecca
172,charge (accusation),noun,b1,nan,ಆರೋಪ / ದೂರು,ārōpa / dūru
173,"charge (responsibility, duty)",noun,b1,nan,ಜವಾಬ್ದಾರಿ / ಕರ್ತವ್ಯ / ಹೊಣೆ,javābdāri / kartavya / hoṇe
174,charge (electrical state),noun,b1,nan,ವಿದ್ಯುದಾವೇಶ / ಚಾರ್ಜ್,vidyudāvēśa / cārj
175,"to charge (a battery, device)",verb,b1,transitive,ಚಾರ್ಜ್ ಮಾಡು / ಆವೇಶಿಸು,cārj māḍu / āvēśisu
176,to breed,noun,c1,transitive,ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡು / ಬೆಳೆಸು / ವೃದ್ಧಿಸು,saṁtānōtpatti māḍu / beḷesu / vr̥ddhisu
177,brown (adjective),noun,a1,nan,ಕಂದು / ಕಂದುಬಣ್ಣದ,kaṁdu / kaṁdubaṇṇada
178,bureaucracy (system of administration),noun,c1,nan,ಅಧಿಕಾರಶಾಹಿ / ಆಡಳಿತ ವ್ಯವಸ್ಥೆ,adhikāraśāhi / āḍaḷita vyavasthe
179,bureaucracy (administration),noun,c1,nan,ಅಧಿಕಾರಶಾಹಿ / ಆಡಳಿತ ವರ್ಗ,adhikāraśāhi / āḍaḷita varga
180,"bureaucracy (excessive red tape, slowness)",noun,c1,nan,ಅಧಿಕಾರಶಾಹಿ / ಕೆಂಪು ಪಟ್ಟಿ / ವಿಳಂಬ ನೀತಿ,adhikāraśāhi / keṁpu paṭṭi / viḷaṁba nīti
181,bureaucracy (red tape),noun,c1,nan,ಕೆಂಪು ಪಟ್ಟಿ / ಅಧಿಕಾರಶಾಹಿ,keṁpu paṭṭi / adhikāraśāhi
182,burial (physical interment),noun,c1,nan,ಸಮಾಧಿ / ಹೂಳುವಿಕೆ,samādhi / hūḷuvike
183,burial (funeral ceremony),noun,c1,nan,ಅಂತ್ಯಸಂಸ್ಕಾರ / ಸಮಾಧಿ ಕಾರ್ಯ,aṁtyasaṁskāra / samādhi kārya
184,burn,noun,b2,nan,ದಹನ / ಸುಡುವಿಕೆ,dahana / suḍuvike
185,burn (injury),noun,b2,nan,ಸುಟ್ಟ ಗಾಯ,suṭṭa gāya
186,to burn (to be on fire),verb,a2,intransitive,ಉರಿ / ಸುಡು,uri / suḍu
187,to burn (to destroy by fire),verb,a2,transitive,ಸುಡು / ದಹಿಸು,suḍu / dahisu
188,to burst (to rush in suddenly),verb,c1,intransitive,ನುಗ್ಗು / ಧುಮುಕು,nuggu / dhumuku
189,to burst (to express emotion suddenly),verb,c1,intransitive,ಸಿಡಿಸು / ಹೊರಹಾಕು,siḍisu / horahāku
190,"to burst (into tears, laughter)",verb,c1,nan,ಅಳು ಹೊರಹಾಕು / ನಗು ಹೊರಹಾಕು,aḷu horahāku / nagu horahāku
191,to bury (to hide an object),verb,b1,transitive,ಹೂಳು / ಮರೆಮಾಡು,hūḷu / maremāḍu
192,to bury (a deceased person),verb,b1,transitive,ಹೂಳು / ಸಮಾಧಿ ಮಾಡು,hūḷu / samādhi māḍu
193,"to bury (general, literal interment)",verb,b1,transitive,ಹೂಳು / ಮಣ್ಣು ಮಾಡು,hūḷu / maṇṇu māḍu
194,bus,noun,a1,nan,ಬಸ್ಸು,bassu
195,bush (mechanical part),noun,b2,nan,ಬುಷ್ / ಆಧಾರಕ,buṣ / ādhāraka
196,"business (commercial enterprise, trade)",noun,a1,nan,ವ್ಯಾಪಾರ / ವ್ಯವಹಾರ / ಉದ್ಯಮ,vyāpāra / vyavahāra / udyama
197,"business (matter, affair, task)",noun,a2,nan,ವಿಷಯ / ಕೆಲಸ / ಕಾರ್ಯ,viṣaya / kelasa / kārya
198,businesswoman,noun,a2,nan,ಮಹಿಳಾ ಉದ್ಯಮಿ / ವ್ಯಾಪಾರಸ್ಥೆ / ಉದ್ಯಮಿ,mahiḷā udyami / vyāpārasthe / udyami
199,businessman (large-scale entrepreneur),noun,b1,nan,ಉದ್ಯಮಿ / ವ್ಯಾಪಾರಸ್ಥ / ಕೈಗಾರಿಕೋದ್ಯಮಿ,udyami / vyāpārastha / kaigārikōdyami
200,busy (telephone line engaged),adjective,a1,nan,ಬಿಜಿ / ನಿರತ,biji / nirata
201,"busy (crowded, bustling)",adjective,a1,nan,ನಿರತ / ಕಾರ್ಯನಿರತ / ಜನನಿಬಿಡ,nirata / kāryanirata / jananibiḍa
202,"but (meaning except, only)",conjunction,a2,nan,ಹೊರತು / ಮಾತ್ರ,horatu / mātra
203,"but (conjunction, contrast)",preposition,b2,nan,ಆದರೆ / ಆದರೂ / ಆದಾಗ್ಯೂ,ādare / ādarū / ādāgyū
204,but (except),preposition,b2,nan,ಹೊರತು / ಅಲ್ಲದೆ,horatu / allade
205,to butter (apply butter),noun,a2,transitive,ಬೆಣ್ಣೆ ಹಚ್ಚು,beṇṇe haccu
