id,english_word,word_class,kannada_translation,verb_transitivity,level
13,"to calm (someone, something)",verb,ಶಾಂತಗೊಳಿಸು / ಸಮಾಧಾನ ಮಾಡು / ಸಮಾಧಾನ ಪಡಿಸು,transitive,b1
14,"to calm down (oneself, a situation)",verb,ಶಾಂತವಾಗು / ಸಮಾಧಾನಪಡು / ನೆಮ್ಮದಿಪಡು,intransitive,b1
15,camera,noun,ಕ್ಯಾಮೆರಾ,N/A,a1
16,camp,noun,ಶಿಬಿರ / ಕ್ಯಾಂಪ್ / ಪಾಳ್ಯ,N/A,a2
17,to camp,verb,ಶಿಬಿರ ಹಾಕು / ಕ್ಯಾಂಪ್ ಮಾಡು / ಶಿಬಿರ ಮಾಡು,N/A,a2
18,campaign (military),noun,ದಂಡಯಾತ್ರೆ / ಯುದ್ಧಾಭಿಯಾನ / ಸಮರ,N/A,b1
19,"campaign (political, advertising)",noun,ಪ್ರಚಾರ / ಅಭಿಯಾನ / ಪ್ರಚಾರಾಂದೋಲನ,N/A,b1
20,to campaign (politically),verb,ಮತ ಪ್ರಚಾರ ಮಾಡು / ಪ್ರಚಾರ ಮಾಡು,intransitive,b1
21,to campaign (for a cause),verb,ಅಭಿಯಾನ ಮಾಡು / ಹೋರಾಟ ಮಾಡು / ಪ್ರಚಾರ ಮಾಡು,intransitive,b1
22,camping,noun,ಕ್ಯಾಂಪಿಂಗ್ / ಶಿಬಿರ ವಾಸ,N/A,a2
23,campus,noun,ಕ್ಯಾಂಪಸ್ / ಆವರಣ / ಪರಿಸರ,N/A,b1
24,can (for rubbish),noun,ಕಸದ ತೊಟ್ಟಿ / ಕಸದ ಬುಟ್ಟಿ,N/A,a2
25,can (ability),modal verb,ಸಾಧ್ಯವಾಗು,N/A,a1
26,"can (permission, request)",modal verb,ಅನುಮತಿ ಕೊಡು / ಅವಕಾಶ ಕೊಡು,N/A,a1
27,canal (anatomical channel),noun,ನಾಳ / ಮಾರ್ಗ,N/A,b2
28,to cancel,verb,ರದ್ದು ಮಾಡು / ನಿಷೇಧಿಸು,transitive,b2
29,Cancer (zodiac sign),noun,ಕರ್ಕಾಟಕ,N/A,b2
30,candidate (examinee),noun,ಪರೀಕ್ಷಾರ್ಥಿ / ಅಭ್ಯರ್ಥಿ,N/A,b1
31,candle,noun,ಮೇಣದ ಬತ್ತಿ,N/A,b2
32,"cannot (be allowed to , prohibited)",modal verb,ಅನುಮತಿ ಇಲ್ಲ / ನಿಷಿದ್ಧ,N/A,a1
33,"canvas (for painting, art)",noun,ಕ್ಯಾನ್ವಾಸ್ / ಚಿತ್ರಪಟ,N/A,c1
34,"canvas (metaphorical framework, scope)",noun,ವ್ಯಾಪ್ತಿ / ಚೌಕಟ್ಟು / ಕ್ಷೇತ್ರ,N/A,c1
35,cap (headwear),noun,ಟೋಪಿ / ಕ್ಯಾಪ್,N/A,b1
36,cap (lid for a container),noun,ಮುಚ್ಚಳ / ಬಾಯಿ ಮುಚ್ಚಳ,N/A,b1
37,capability (strategic resource or function),noun,ಸಾಮರ್ಥ್ಯ / ಶಕ್ತಿ / ಸಾಧಿಸುವಿಕೆ,N/A,c1
38,capable,adjective,ಸಮರ್ಥ / ಶಕ್ತ / ಸಾಮರ್ಥ್ಯವುಳ್ಳ,N/A,b2
39,"capacity (role, function)",noun,ಪಾತ್ರ / ಸ್ಥಾನ / ಹೊಣೆಗಾರಿಕೆ,N/A,b2
40,"capital (chief, of the main city)",adjective,ರಾಜಧಾನಿಯ / ಮುಖ್ಯ / ಪ್ರಧಾನ,N/A,a1
41,capital (letter),adjective,ದೊಡ್ಡ / ಕ್ಯಾಪಿಟಲ್,N/A,a1
42,capital (city),noun,ರಾಜಧಾನಿ / ರಾಜ್ಯಧಾನಿ,N/A,a1
43,capital (financial assets),noun,ಬಂಡವಾಳ / ಮೂಲಧನ,N/A,a1
44,capitalism,noun,ಬಂಡವಾಳಶಾಹಿತ್ವ / ಬಂಡವಾಳಶಾಹಿ ಪದ್ಧತಿ,N/A,c1
45,capitalist,adjective,ಬಂಡವಾಳಶಾಹಿ,N/A,c1
46,captain (sports team leader),noun,ನಾಯಕ / ಕ್ಯಾಪ್ಟನ್,N/A,b1
47,captain (female sports team leader),noun,ನಾಯಕಿ / ಕ್ಯಾಪ್ಟನ್,N/A,b1
48,captain (ship or military rank),noun,ಕ್ಯಾಪ್ಟನ್ / ಸೇನಾನಿ,N/A,b1
49,capture (seizure or arrest),noun,ಸೆರೆಹಿಡಿಯುವಿಕೆ / ಬಂಧನ / ವಶಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ,N/A,b2
50,capture (recording or depiction),noun,ದಾಖಲೆ / ದಾಖಲೀಕರಣ / ಚಿತ್ರೀಕರಣ,N/A,b2
51,to capture (person or location),verb,ಸೆರೆಹಿಡಿ / ವಶಪಡಿಸಿಕೊ / ಬಂಧಿಸು / ಹಿಡಿ,transitive,b2
52,to capture (image or data),verb,ದಾಖಲಿಸು / ಸೆರೆಹಿಡಿ / ಚಿತ್ರೀಕರಿಸು / ಸಂಗ್ರಹಿಸು,transitive,b2
53,car,noun,ಕಾರು / ವಾಹನ / ಮೋಟಾರು ಗಾಡಿ,N/A,a1
54,carbon,noun,ಇಂಗಾಲ,N/A,b2
55,"card (ID, Bank)",noun,ಕಾರ್ಡ್ / ಗುರುತು ಚೀಟಿ,N/A,a1
56,"card (greeting, post)",noun,ಕಾರ್ಡ್,N/A,a1
57,greeting card,noun,ಶುಭಾಶಯ ಪತ್ರ / ಗ್ರೀಟಿಂಗ್ ಕಾರ್ಡ್,N/A,a1
58,care (caution),noun,ಜಾಗರೂಕತೆ / ಎಚ್ಚರಿಕೆ / ಎಚ್ಚರ,N/A,a2
59,care (upkeep),noun,ಪಾಲನೆ / ಆರೈಕೆ / ನಿರ್ವಹಣೆ / ಪೋಷಣೆ,N/A,a2
60,"to care (about something, someone)",verb,ಕಾಳಜಿ ಮಾಡು / ಗಮನಿಸು / ಚಿಂತಿಸು,intransitive,a2
61,"to care (for, to look after)",verb,ನೋಡಿಕೋ / ಆರೈಕೆ ಮಾಡು / ಪಾಲಿಸು / ಪೋಷಿಸು,transitive,a2
62,career,noun,ವೃತ್ತಿ / ಉದ್ಯೋಗ / ಕೆಲಸ,N/A,a1
63,"careful (diligent, detailed)",adjective,ಜಾಗರೂಕ / ಎಚ್ಚರಿಕೆಯ / ಸೂಕ್ಷ್ಮ / ನಿಖರ,N/A,a2
64,carefully (meticulously),adverb,ಜಾಗರೂಕತೆಯಿಂದ / ಎಚ್ಚರಿಕೆಯಿಂದ / ಸೂಕ್ಷ್ಮವಾಗಿ / ನಿಖರವಾಗಿ,N/A,a2
65,"careless (indifferent, apathetic)",adjective,ನಿರ್ಲಕ್ಷ್ಯದ / ಅಸಡ್ಡೆಯ / ಬೇಜವಾಬ್ದಾರಿಯ,N/A,b1
66,cargo,noun,ಸರಕು / ಸಾಮಾನು / ಹೊರೆ,N/A,c1
67,carpet,noun,ಕಾರ್ಪೆಟ್ / ರತ್ನಗಂಬಳಿ / ನೆಲಹಾಸು,N/A,a2
68,carriage (bearing or posture),noun,ನಿಲುವು / ಭಂಗಿ / ನಡೆ,N/A,c1
69,carriage (train coach),noun,ಬೋಗಿ / ರೈಲು ಬೋಗಿ / ಡಬ್ಬಿ,N/A,c1
70,carrot,noun,ಗಜ್ಜರಿ,N/A,a1
71,to carry (on the head),verb,ಹೊರು / ಹೊತ್ತುಕೊಂಡು ಹೋಗು,transitive,a1
72,to carry (a child),verb,ಹೊತ್ತುಕೊ / ಎತ್ತಿಕೊ / ಕೊಂಡೊಯ್ಯಿ,transitive,a1
73,cartoon (satirical drawing),noun,ವ್ಯಂಗ್ಯಚಿತ್ರ / ಕಾರ್ಟೂನ್,N/A,b1
74,"to carve (to sculpt, engrave)",verb,ಕೆತ್ತು / ಕೊರೆ / ಶಿಲ್ಪ ಕೆತ್ತು,transitive,c1
75,to carve (to slice cooked meat),verb,ಕತ್ತರಿಸು / ಸೀಳು / ತುಂಡು ಮಾಡು,transitive,c1
76,case (situation or instance),noun,ಸಂದರ್ಭ / ಪರಿಸ್ಥಿತಿ / ಪ್ರಸಂಗ,N/A,a2
77,case (legal matter),noun,ಮೊಕದ್ದಮೆ / ಕೇಸು / ವ್ಯಾಜ್ಯ,N/A,a2
78,case (container or covering),noun,ಪೆಟ್ಟಿಗೆ / ಕವಚ / ಡಬ್ಬಿ / ಆವರಣ,N/A,a2
79,"cash (loanword, commerce)",noun,ನಗದು / ಕ್ಯಾಶ್ / ಹಣ,N/A,a2
80,casino,noun,ಜೂಜಾಟದ ಮನೆ / ಕ್ಯಾಸಿನೋ,N/A,c1
81,cast (medical),noun,ಪ್ಲಾಸ್ಟರ್,N/A,b2
82,cast (actors),noun,ಪಾತ್ರವರ್ಗ / ನಟವರ್ಗ / ಕಲಾವಿದರು,N/A,b2
83,to cast (a fishing line or net),verb,ಬೀಸು / ಎಸೆ / ಬಲೆ ಬೀಸು,transitive,b2
84,to cast (a shadow or light),verb,ಚೆಲ್ಲು / ಹರಡು / ಬೀಳು,transitive,b2
85,to cast (molten metal or a sculpture),verb,ಎರಕ ಹೊಯ್ / ಎರಕ ಹಾಕು / ಅಚ್ಚು ಹಾಕು,transitive,b2
86,to cast (an actor in a role),verb,ಆಯ್ಕೆ ಮಾಡು / ಪಾತ್ರಕ್ಕೆ ಆಯ್ಕೆ ಮಾಡು / ನೇಮಿಸು,transitive,b2
87,to cast (a vote),verb,ಮತ ಹಾಕು / ಮತ ಚಲಾಯಿಸು,transitive,b2
88,castle (chess piece),noun,ರುಕ್ / ಕೋಟೆ,N/A,b1
89,"casual (informal, relaxed)",adjective,ಅನೌಪಚಾರಿಕ / ಸಾಧಾರಣ / ಸರಳ,N/A,b2
90,"casual (accidental, chance)",adjective,ಆಕಸ್ಮಿಕ / ಅನಿರೀಕ್ಷಿತ / ಯಾದೃಚ್ಛಿಕ,N/A,b2
91,"casual (temporary, non-permanent)",adjective,ತಾತ್ಕಾಲಿಕ / ಅಲ್ಪಾವಧಿ / ಹಂಗಾಮಿ,N/A,b2
92,casualty (person injured or killed),noun,ಸಾವು-ನೋವು / ಬಲಿಯಾದವರು / ಗಾಯಾಳು / ಮೃತರು,N/A,c1
93,casualty (loss or damage),noun,ನಷ್ಟ / ಹಾನಿ / ಹಾನಿಯಾದದ್ದು,N/A,c1
94,cat,noun,ಬೆಕ್ಕು,N/A,a1
95,to catalogue,verb,ಪಟ್ಟಿಮಾಡು / ವರ್ಗೀಕರಿಸು / ದಾಖಲಿಸು,transitive,c1
96,"catch (fastener, latch)",noun,ಚಿಲಕ / ಕೊಂಡಿ,N/A,b2
97,"catch (hidden problem, stipulation)",noun,ತೊಂದರೆ / ಅಡಚಣೆ / ಷರತ್ತು,N/A,b2
98,to catch (an illness),verb,ಸೋಂಕು ತಗುಲು / ರೋಗ ತಗುಲು / ಬೇನೆ ಬರು,transitive,a2
99,to catch (transportation),verb,ಹಿಡಿ / ಹತ್ತು / ತಲುಪು,transitive,a2
100,to check (to verify or examine),verb,ಪರಿಶೀಲಿಸು / ಪರೀಕ್ಷಿಸು / ದೃಢೀಕರಿಸು,transitive,a1
101,to check (to tick or mark an item),verb,ಗುರುತು ಮಾಡು / ಗುರುತಿಸು,transitive,a1
102,to check (to control or limit),verb,ನಿಯಂತ್ರಿಸು / ಹತೋಟಿಗೆ ತರು / ತಡೆ,transitive,a2
103,cheek (impudence),noun,ಧೃಷ್ಟತೆ / ಅಹಂಕಾರ / ಉದ್ಧಟತನ,N/A,b2
104,cheer (shout of approval),noun,ಉತ್ಸಾಹ ಧ್ವನಿ / ಜಯಘೋಷ / ಹರ್ಷೋದ್ಗಾರ,N/A,b2
105,"cheer (good spirits, happiness)",noun,ಸಂತೋಷ / ಹರ್ಷ / ಉಲ್ಲಾಸ,N/A,b2
106,to cheer (to make happy; lift spirits),verb,ಉಲ್ಲಾಸಗೊಳಿಸು / ಸಂತೋಷಪಡಿಸು / ಹರ್ಷಗೊಳಿಸು,transitive,b2
107,"cheerful (place, atmosphere)",adjective,ಉಲ್ಲಾಸಕರ / ಹರ್ಷದಾಯಕ / ಸಂತೋಷಕರ,N/A,b1
108,cheese,noun,ಚೀಸ್,N/A,a1
109,"chef (professional, head cook)",noun,ಶೆಫ್ / ಪ್ರಧಾನ ಅಡುಗೆದಾರ / ಮುಖ್ಯ ಅಡುಗೆಯವರು,N/A,a2
110,chef,noun,ಪ್ರಧಾನ ಅಡುಗೆದಾರ / ಮುಖ್ಯ ಅಡುಗೆಯವರು / ಶೆಫ್,N/A,a2
111,cook (general occupation),noun,ಅಡುಗೆದಾರ / ಅಡುಗೆಯವರು / ಪಾಚಕ,N/A,a2
112,chemical,adjective,ರಾಸಾಯನಿಕ,N/A,b1
113,chemical,noun,ರಾಸಾಯನಿಕ ವಸ್ತು / ರಾಸಾಯನಿಕ,N/A,b1
114,chemistry (science subject),noun,ರಸಾಯನ ಶಾಸ್ತ್ರ,N/A,a2
115,chemistry (relationship connection),noun,ಪರಸ್ಪರ ಆಕರ್ಷಣೆ / ಹೊಂದಾಣಿಕೆ / ಬಾಂಧವ್ಯ,N/A,b1
116,chest (body part),noun,ಎದೆ / ವಕ್ಷಸ್ಥಳ,N/A,b1
117,chest (storage box),noun,ಪೆಟ್ಟಿಗೆ / ಮಂಜೂಷ / ಸಂಪುಟ,N/A,b1
118,chicken (animal),noun,ಕೋಳಿ,N/A,a1
119,chicken (meat),noun,ಕೋಳಿ ಮಾಂಸ,N/A,a1
120,"chief (main, principal)",adjective,ಮುಖ್ಯ / ಪ್ರಧಾನ / ಪ್ರಮುಖ,N/A,b2
121,chief (highest in rank),adjective,ಪ್ರಧಾನ / ಮುಖ್ಯ / ಅಗ್ರಗಣ್ಯ,N/A,b2
122,chief,noun,ಮುಖ್ಯಸ್ಥ / ಪ್ರಮುಖ / ನಾಯಕ / ಅಧಿಪತಿ,N/A,b2
123,baby,noun,ಮಗು / ಕೂಸು / ಕಂದ,N/A,a1
124,childhood,noun,ಬಾಲ್ಯ / ಬಾಲಾವಸ್ಥೆ,N/A,b1
125,chip (fragment),noun,ಚೂರು / ತುಂಡು / ಸೀಳು,N/A,a2
126,"chip (food, snack)",noun,ಚಿಪ್ಸ್,N/A,a2
127,chip (electronic component),noun,ಚಿಪ್,N/A,a2
128,chocolate,noun,ಚಾಕೊಲೇಟ್,N/A,a1
129,choice,noun,ಆಯ್ಕೆ / ಆಯ್ದುಕೊಳ್ಳುವಿಕೆ / ನಿರ್ಧಾರ,N/A,a2
130,choir (architectural section),noun,ಗಾಯಕರ ಪ್ರದೇಶ / ಗಾಯನ ವಿಭಾಗ,N/A,b2
131,to choose,verb,ಆರಿಸು / ಆಯ್ಕೆ ಮಾಡು / ಆಯ್ದುಕೊಳ್ಳು,transitive,a1
132,to chop (wood or large items),verb,ಕಡಿಯು / ಸೀಳು / ಕೊಚ್ಚು,transitive,b2
133,to chop (vegetables or food),verb,ಹೆಚ್ಚು / ಕತ್ತರಿಸು / ತುಂಡು ಮಾಡು,transitive,b2
134,chronic (illness or condition),adjective,ದೀರ್ಘಕಾಲದ / ದೀರ್ಘಕಾಲಿಕ,N/A,c1
135,"chronic (habitual, inveterate)",adjective,ರೂಢಿಯಾದ / ತೀವ್ರವಾದ / ಚಿರಕಾಲದ / ನಿರಂತರ,N/A,c1
136,chunk (piece of material),noun,ದೊಡ್ಡ ತುಂಡು / ಬೃಹತ್ ತುಂಡು / ಗಂಟು,N/A,c1
137,"chunk (large amount, portion)",noun,ಬಹುಪಾಲು / ದೊಡ್ಡ ಭಾಗ / ಸಿಂಹಪಾಲು,N/A,c1
138,church,noun,ಚರ್ಚ್ / ಕ್ರೈಸ್ತಮಂದಿರ,N/A,a2
139,cigarette,noun,ಸಿಗರೇಟ್,N/A,a2
140,movie theatre,noun,ಸಿನಿಮಾ ಮಂದಿರ / ಟಾಕೀಸ್ / ಚಿತ್ರಮಂದಿರ,N/A,a1
141,circle (social group),noun,ವಲಯ / ಬಳಗ / ಗುಂಪು / ಸಮುದಾಯ,N/A,a2
142,to circle (move around),verb,ಸುತ್ತು / ಪರಿಭ್ರಮಿಸು / ಪ್ರದಕ್ಷಿಣೆ ಹಾಕು,intransitive,a2
143,to circle (draw a ring around),verb,ವೃತ್ತ ಹಾಕು / ಸುತ್ತು ಹಾಕು / ಗುರುತಿಸು,transitive,a2
144,circuit (electrical),noun,ವಿದ್ಯುನ್ಮಂಡಲ / ಸರ್ಕ್ಯೂಟ್,N/A,b2
145,"circuit (route, tour)",noun,ಆವರ್ತ / ಸುತ್ತು / ಪ್ರವಾಸ,N/A,b2
146,to circulate (information or rumors),verb,ಹರಡು / ಪ್ರಚುರಪಡಿಸು / ಪ್ರಸಾರ ಮಾಡು,intransitive,c1
147,"to circulate (physically, like blood or air)",verb,ಸಂಚರಿಸು / ಹರಿಯು / ಚಲಿಸು,intransitive,c1
148,to circulate (money or currency),verb,ಚಲಾವಣೆಯಲ್ಲಿರು / ಚಲಾವಣೆಯಾಗು,intransitive,c1
149,"circulation (movement, flow)",noun,ಸಂಚಾರ / ಪ್ರಸರಣೆ / ಹರಿವು / ಚಲನೆ,N/A,c1
150,circulation (blood/fluid movement),noun,ಪರಿಚಲನೆ / ಸಂಚಾರ,N/A,c1
152,to cite (summon to court),verb,ಕೋರ್ಟಿಗೆ ಕರೆಸು / ಸಮನ್ಸ್ ನೀಡು,transitive,b2
153,citizen (national of a country),noun,ನಾಗರಿಕ / ಪ್ರಜೆ,N/A,b2
171,clash (violent confrontation),noun,ಸಂಘರ್ಷ / ಘರ್ಷಣೆ / ಕಾದಾಟ,N/A,c1
173,class (social stratum),noun,ವರ್ಗ / ಶ್ರೇಣಿ,N/A,a1
174,class (category/type),noun,ವರ್ಗ / ವಿಧ / ಪ್ರಕಾರ,N/A,a1
190,to clear (to pass an obstacle/hurdle),verb,ದಾಟು / ನಿವಾರಿಸು,transitive,b1
196,"clever (intelligent, skillful)",adjective,ಬುದ್ಧಿವಂತ / ಚುರುಕು / ಜಾಣ,N/A,a2
200,"client (computing, software)",noun,ಕ್ಲೈಂಟ್ / ಸೇವಾಕಾಂಕ್ಷಿ,N/A,b1
201,cliff,noun,ಕಡಿದಾದ ಬಂಡೆ / ಪ್ರಪಾತ,N/A,b2
202,climate (atmosphere or environment),noun,ಹವಾಗುಣ / ವಾತಾವರಣ,N/A,b1
203,"climate (mood, environment)",noun,ವಾತಾವರಣ / ಪರಿಸ್ಥಿತಿ,N/A,b1
204,climb (act of ascending),noun,ಏರಿಕೆ / ಹತ್ತುವಿಕೆ / ಆರೋಹಣ,N/A,b1
205,climb (steep section of road),noun,ಏರು / ಕಡಿದಾದ ಹಾದಿ,N/A,b1
206,to climb,verb,ಏರು / ಹತ್ತು,transitive,a1
207,to cling (to hold on tightly),verb,ಅಂಟಿಕೊ / ಬಿಗಿಯಾಗಿ ಹಿಡಿದುಕೊಳ್ಳು,intransitive,c1
208,to cling (to an idea or belief),verb,ಅಂಟಿಕೊ / ಪಟ್ಟು ಹಿಡಿ,intransitive,c1
209,clinic,noun,ಕ್ಲಿನಿಕ್ / ಚಿಕಿತ್ಸಾಲಯ / ವೈದ್ಯಕೀಯ ಕೇಂದ್ರ,N/A,b2
210,clinical (medical),adjective,ವೈದ್ಯಕೀಯ,N/A,c1
211,clinical (detached),adjective,ಭಾವನಾ ರಹಿತ / ನಿರ್ಲಿಪ್ತ,N/A,c1
212,"clip (of video, audio)",noun,ಕ್ಲಿಪ್ / ತುಣುಕು / ಭಾಗ,N/A,b2
213,clip (ammunition holder),noun,ಮದ್ದುಗುಂಡು ಪಟ್ಟಿ / ಕ್ಲಿಪ್,N/A,b2
214,clock (wall or desk timepiece),noun,ಗಡಿಯಾರ,N/A,a1
215,watch (wristwatch),noun,ಕೈ ಗಡಿಯಾರ,N/A,a1
216,close (intimate),adjective,ಆತ್ಮೀಯ / ನಿಕಟ,N/A,a2
217,close,adverb,ಹತ್ತಿರ / ಸಮೀಪ,N/A,b1
218,close,noun,ಅಂತ್ಯ / ಮುಕ್ತಾಯ / ಸಮಾಪ್ತಿ,N/A,b2
219,to close (an establishment or session),verb,ಮುಚ್ಚು,intransitive,a1
220,closed (shut physically),adjective,ಮುಚ್ಚಿದ / ಬಂದ್ ಆದ,N/A,a2
221,closed (not open for business),adjective,ಮುಚ್ಚಿದ / ಬಂದ್ ಆದ,N/A,a2
222,closely (attentively),adverb,ಸೂಕ್ಷ್ಮವಾಗಿ / ಗಮನವಿಟ್ಟು,N/A,b2
223,"closely (in relationship, linking)",adverb,ನಿಕಟವಾಗಿ / ಹತ್ತಿರವಾಗಿ,N/A,b2
224,closure (physical closing),noun,ಮುಚ್ಚುವಿಕೆ / ಸ್ಥಗಿತ / ಬಂದ್,N/A,c1
225,closure (emotional resolution),noun,ಸಮಾಧಾನ / ಪರಿಹಾರ / ಅಂತ್ಯ,N/A,c1
226,cloth (garment or formal attire),noun,ವಸ್ತ್ರ / ಉಡುಪು,N/A,b1
227,cloth (rag or cleaning duster),noun,ಅರಿವೆ / ಬಟ್ಟೆ,N/A,b1
228,"clothes (garments, apparel)",noun,ಬಟ್ಟೆಗಳು / ವಸ್ತ್ರಗಳು,N/A,a1
229,"clothing (formal, literary)",noun,ವಸ್ತ್ರಗಳು / ಉಡುಪು / ಪೋಷಾಕು,N/A,a2
230,cloud,noun,ಮೋಡ,N/A,a2
231,club (organization),noun,ಕ್ಲಬ್ / ಸಂಸ್ಥೆ / ಕೂಟ,N/A,a1
232,club (venue),noun,ನೈಟ್ಕ್ಲಬ್ / ಕ್ಲಬ್,N/A,a1
233,clue,noun,ಸುಳಿವು / ಸಂಕೇತ,N/A,b1
234,"cluster (abstract, technical)",noun,ಗುಚ್ಛ / ಸಮೂಹ / ಗುಂಪು,N/A,c1
235,"coach (trainer, instructor)",noun,ತರಬೇತುದಾರ / ಬೋಧಕ,N/A,a2
236,coach (long-distance bus or train carriage),noun,ಬೋಗಿ / ಕೋಚ್,N/A,a2
237,"to coach (sports, training)",verb,ತರಬೇತಿ ನೀಡು / ತರಬೇತಿ ಕೊಡು,transitive,b1
238,"to coach (to tutor, instruct)",verb,ಬೋಧಿಸು / ಪಾಠ ಮಾಡು / ತರಬೇತಿ ಕೊಡು,transitive,b1
239,coal (fossil fuel),noun,ಕಲ್ಲಿದ್ದಲು,N/A,b1
240,charcoal,noun,ಇದ್ದಿಲು,N/A,b1
241,coalition,noun,ಮೈತ್ರಿಕೂಟ / ಒಕ್ಕೂಟ,N/A,c1
242,coast,noun,ಕರಾವಳಿ / ಸಮುದ್ರ ತೀರ,N/A,a2
243,coastal,adjective,ಕರಾವಳಿ / ಸಮುದ್ರ ತೀರದ,N/A,c1
244,coat (layer),noun,ಪದರ / ಲೇಪನ,N/A,a2
245,cocktail (mixed drink),noun,ಕಾಕ್ಟೇಲ್ / ಮಿಶ್ರ ಪಾನೀಯ,N/A,c1
246,"cocktail (party, event)",noun,ಕಾಕ್ಟೇಲ್ ಪಾರ್ಟಿ / ಸಂಜೆಕೂಟ,N/A,c1
247,code (system of laws or rules),noun,ಸಂಹಿತೆ / ನಿಯಮಾವಳಿ,N/A,a2
248,code (computer instructions),noun,ಕೋಡ್ / ಸಂಕೇತ,N/A,a2
249,coffee,noun,ಕಾಫಿ,N/A,a1
250,cognitive,adjective,ಅರಿವಿನ / ಜ್ಞಾನಕ್ಕೆ ಸಂಬಂಧಿಸಿದ / ಬೌದ್ಧಿಕ,N/A,c1
251,coin,noun,ನಾಣ್ಯ,N/A,b1
252,to coincide (happen simultaneously),verb,ಏಕಕಾಲದಲ್ಲಿ ನಡೆ / ಒಂದೇ ಸಮಯದಲ್ಲಿ ಸಂಭವಿಸು / ಸಮಕಾಲೀನವಾಗು,intransitive,c1
253,to coincide (be in agreement),verb,ಹೊಂದಾಣಿಕೆಯಾಗು / ಒಪ್ಪಿಗೆಯಾಗು / ಸಮಂಜಸವಾಗು,intransitive,c1
254,coincidence,noun,ಕಾಕತಾಳೀಯ / ಆಕಸ್ಮಿಕ,N/A,b2
255,"cold (temperature, unpleasant)",adjective,ಚಳಿಯಾದ / ಶೀತವಾದ,N/A,a1
256,"cold (cool, refreshing)",adjective,ತಂಪಾದ / ತಂಪು,N/A,a1
257,cold (illness),noun,ನೆಗಡಿ / ಶೀತ,N/A,a1
258,cold (low temperature),noun,ಚಳಿ / ಶೀತ,N/A,a1
259,to collaborate (as a formal partner),verb,ಸಹಕರಿಸು / ಸಹಭಾಗಿತ್ವ ಮಾಡು / ಸಹಯೋಗ ಮಾಡು,intransitive,c1
260,"collaboration (teamwork, partnership)",noun,ಸಹಯೋಗ / ಸಹಕಾರ / ಸಹಭಾಗಿತ್ವ,N/A,c1
261,"collaboration (with the enemy, collusion)",noun,ಶತ್ರುಗಳೊಂದಿಗೆ ಸಹಕಾರ / ಒಳಸಂಚು / ದೇಶದ್ರೋಹ,N/A,c1
262,collusion,noun,ಕುಮ್ಮಕ್ಕು / ಒಳಸಂಚು / ಗುಪ್ತ ಒಪ್ಪಂದ,N/A,c1
263,collapse (physical structure),noun,ಕುಸಿತ / ಬಿದ್ದುಹೋಗುವಿಕೆ,N/A,b2
264,"collapse (market, health, system)",noun,ಪತನ / ಕುಸಿತ / ಅಧಃಪತನ,N/A,b2
265,"to collapse (from exhaustion, illness)",verb,ಬಿದ್ದುಹೋಗು / ಕುಸಿದು ಬೀಳು / ಪ್ರಜ್ಞೆ ತಪ್ಪಿ ಬೀಳು,intransitive,b2
266,"to collapse (negotiations, system)",verb,ವಿಫಲವಾಗು / ಕುಸಿದುಬೀಳು / ಭಗ್ನವಾಗು,intransitive,b2
267,colleague,noun,ಸಹೋದ್ಯೋಗಿ / ಜೊತೆಗಾರ,N/A,a2
