english_word,word_class,kannada_translation,transliteration,verb_transitivity,level
angrily,adverb,ಸಿಟ್ಟಿನಿಂದ / ಕೋಪದಿಂದ / ರೋಷದಿಂದ,siṭṭiniṁda / kōpadiṁda / rōṣadiṁda,,a1
"angry (common, annoyed)",adjective,ಸಿಟ್ಟಾದ / ಕೋಪಗೊಂಡ / ಕಿರಿಕಿರಿಗೊಂಡ,siṭṭāda / kōpagoṁḍa / kirikirigoṁḍa,,a1
another,determiner,ಮತ್ತೊಂದು / ಇನ್ನೊಂದು / ಬೇರೆ,mattoṁdu / innoṁdu / bēre,,a1
another (a different one),pronoun,ಬೇರೆ ಒಂದು / ಇನ್ನೊಂದು,bēre oṁdu / innoṁdu,,a1
another (one more),pronoun,ಇನ್ನೊಂದು / ಮತ್ತೊಂದು,innoṁdu / mattoṁdu,,a1
"another (unspecified thing, item)",determiner,ಇನ್ನೊಂದು / ಮತ್ತೊಂದು,innoṁdu / mattoṁdu,,a1
answer,noun,ಉತ್ತರ / ಪ್ರತ್ಯುತ್ತರ,uttara / pratyuttara,,a1
"any (choice, universal)",determiner,ಯಾವುದೇ / ಯಾವುದಾದರೂ,yāvudē / yāvudādarū,,a1
any (general selection),pronoun,ಯಾವುದಾದರೂ / ಯಾವುದೇ / ಯಾವ ಆದರೂ,yāvudādarū / yāvudē / yāva ādarū,,a1
"any (in questions, negatives)",determiner,ಏನಾದರೂ / ಸ್ವಲ್ಪವಾದರೂ,ēnādarū / svalpavādarū,,a1
any (indefinite quantity),determiner,ಸ್ವಲ್ಪವಾದರೂ / ಕನಿಷ್ಠ,svalpavādarū / kaniṣṭha,,a1
"any (item, choice)",pronoun,ಯಾವುದಾದರೂ / ಯಾವುದೇ / ಯಾವ ಆದರೂ,yāvudādarū / yāvudē / yāva ādarū,,a1
"any (some, if)",pronoun,ಏನಾದರೂ / ಸ್ವಲ್ಪವಾದರೂ,ēnādarū / svalpavādarū,,a1
"any (universal choice, usually in context)",determiner,ಯಾವ ಆದರೂ / ಯಾವುದೇ,yāva ādarū / yāvudē,,a1
any (zero quantity),pronoun,ಯಾವುದೂ,yāvudū,,a1
"any (zero quantity, with negative verb)",pronoun,ಏನೂ / ಯಾವುದೂ,ēnū / yāvudū,,a1
"anyone (any person, affirmative)",pronoun,ಯಾರಾದರೂ / ಯಾರು ಬೇಕಾದರೂ,yārādarū / yāru bēkādarū,,a1
"anyone (in questions, negatives)",pronoun,ಯಾರೂ,yārū,,a1
"anything (thing, object, general indefinite)",pronoun,ಏನಾದರೂ / ಏನು ಬೇಕಾದರೂ / ಯಾವುದನ್ನಾದರೂ,ēnādarū / ēnu bēkādarū / yāvudannādarū,,a1
anything (whatever the choice),pronoun,ಯಾವುದನ್ನಾದರೂ / ಏನನ್ನಾದರೂ,yāvudannādarū / ēnannādarū,,a1
apartment,noun,ಅಪಾರ್ಟ್ಮೆಂಟ್ / ಫ್ಲಾಟ್,apārṭmeṁṭ / phlāṭ,,a1
apple,noun,ಸೇಬು,sēbu,,a1
april,noun,ಏಪ್ರಿಲ್,ēpril,,a1
area (measurement),noun,ವಿಸ್ತೀರ್ಣ / ಕ್ಷೇತ್ರಫಲ,vistīrṇa / kṣētraphala,,a1
around (approximate time or quantity),preposition,ಸುಮಾರು / ಅಂದಾಜು,sumāru / aṁdāju,,a1
around (approximately),adverb,ಸುಮಾರು / ಅಂದಾಜು,sumāru / aṁdāju,,a1
"around (movement, periphery)",adverb,ಸುತ್ತಲೂ / ಸುತ್ತಮುತ್ತ,suttalū / suttamutta,,a1
around (nearby or in the vicinity),preposition,ಹತ್ತಿರ / ಸಮೀಪ,hattira / samīpa,,a1
"around (nearby, in the vicinity)",adverb,ಹತ್ತಿರದಲ್ಲಿ / ಸಮೀಪದಲ್ಲಿ,hattiradalli / samīpadalli,,a1
around (surrounding something or moving in a circle),preposition,ಸುತ್ತ / ಸುತ್ತಲೂ,sutta / suttalū,,a1
arrow (projectile),noun,ಬಾಣ,bāṇa,,a1
art (skill or technique),noun,ಕಲೆ / ಕೌಶಲ್ಯ,kale / kauśalya,,a1
article (object),noun,ವಸ್ತು / ಸಾಮಾನು,vastu / sāmānu,,a1
article (writing),noun,ಲೇಖನ / ಬರಹ,lēkhana / baraha,,a1
"artist (performer, general artiste)",noun,ಕಲಾವಿದ / ಕಲಾವಿದೆ / ಪ್ರದರ್ಶಕ / ಪ್ರದರ್ಶಕಿ,kalāvida / kalāvide / pradarśaka / pradarśaki,,a1
"artist (visual creator, e.g., painter)",noun,ಕಲಾವಿದ / ಕಲಾವಿದೆ / ಚಿತ್ರಕಲಾವಿದ / ಚಿತ್ರಕಲಾವಿದೆ,kalāvida / kalāvide / citrakalāvida / citrakalāvide,,a1
as (in the role of),preposition,ಆಗಿ,āgi,,a1
"as (like, in the manner of)",preposition,ಹಾಗೆ / ರೀತಿಯಲ್ಲಿ / ಅಂತೆ,hāge / rītiyalli / aṁte,,a1
asleep (in slumber),adjective,ಮಲಗಿದ / ನಿದ್ರಿಸಿದ,malagida / nidrisida,,a1
"at (target, direction)",preposition,ಕಡೆಗೆ / ದಿಕ್ಕಿಗೆ,kaḍege / dikkige,,a1
"at (time, moment)",preposition,ಗೆ / ನಲ್ಲಿ,ge / nalli,,a1
august,noun,ಆಗಸ್ಟ್,āgasṭ,,a1
aunt (father's sister),noun,ಅತ್ತೆ,atte,,a1
aunt (mother's elder sister),noun,ದೊಡ್ಡಮ್ಮ,doḍḍamma,,a1
aunt (mother's younger sister),noun,ಚಿಕ್ಕಮ್ಮ,cikkamma,,a1
auto (common usage),noun,ಆಟೋ,āṭō,,a1
autumn,noun,ಶರತ್ಕಾಲ,śaratkāla,,a1
away (distance or absence),adverb,ದೂರ / ಹೊರಗೆ / ಪಕ್ಕಕ್ಕೆ,dūra / horage / pakkakke,,a1
away (into storage or hiding),adverb,ಒಳಗೆ / ಎತ್ತಿಟ್ಟು / ಮರೆಮಾಚಿ,oḷage / ettiṭṭu / maremāci,,a1
baby,noun,ಮಗು / ಕೂಸು / ಕಂದ,magu / kūsu / kaṁda,,a1
baby (term of endearment),noun,ಕಂದ / ಚಿನ್ನ / ಪ್ರೀತಿಪಾತ್ರ,kaṁda / cinna / prītipātra,,a1
back,adverb,ಹಿಂದಕ್ಕೆ,hiṁdakke,,a1
back (rear side),noun,ಬೆನ್ನು / ಹಿಂಭಾಗ,bennu / hiṁbhāga,,a1
"bad (sick, unwell)",adjective,ಹುಷಾರಿಲ್ಲದ / ಅನಾರೋಗ್ಯಕರ,huṣārillada / anārōgyakara,,a1
ball,noun,ಚೆಂಡು,ceṁḍu,,a1
"banana (unripe, raw)",noun,ಬಾಳೇ ಕಾಯಿ,bāḷē kāyi,,a1
band (musical group),noun,ಬ್ಯಾಂಡ್ / ಸಂಗೀತ ತಂಡ,byāṁḍ / saṁgīta taṁḍa,,a1
"bank (river, lake)",noun,ದಡ / ದಂಡೆ / ತೀರ / ತಟ,daḍa / daṁḍe / tīra / taṭa,,a1
bath,noun,ಸ್ನಾನ / ಮೀಯುವಿಕೆ,snāna / mīyuvike,,a1
beach,noun,ಕಡಲತೀರ / ಸಮುದ್ರತೀರ / ದಂಡೆ,kaḍalatīra / samudratīra / daṁḍe,,a1
beautiful,adjective,ಸುಂದರ / ಅಂದವಾದ / ಚಂದದ / ರಮಣೀಯ,suṁdara / aṁdavāda / caṁdada / ramaṇīya,,a1
because (clause connector),conjunction,ಯಾಕೆಂದರೆ / ಏಕೆಂದರೆ,yākeṁdare / ēkeṁdare,,a1
"because of (a noun, reason)",conjunction,ಕಾರಣದಿಂದ / ನಿಮಿತ್ತ / ಸಲುವಾಗಿ,kāraṇadiṁda / nimitta / saluvāgi,,a1
bed (planting area),noun,ಸಸಿಪಾತಿ / ಪಾತಿ,sasipāti / pāti,,a1
bedroom,noun,ಮಲಗುವ ಕೋಣೆ / ಮಲಗುವ ಮನೆ,malaguva kōṇe / malaguva mane,,a1
beer,noun,ಬಿಯರ್,biyar,,a1
before (time),preposition,ಮೊದಲು / ಪೂರ್ವ,modalu / pūrva,,a1
behind (at the rear),preposition,ಹಿಂದೆ,hiṁde,,a1
behind (delayed or late),adverb,ಹಿಂದುಳಿದು,hiṁduḷidu,,a1
behind (remaining or lagging),preposition,ಹಿಂದೆ,hiṁde,,a1
below (in a document or list),adverb,ಕೆಳಗೆ,keḷage,,a1
below (less than a standard/value),preposition,ಕಡಿಮೆ,kaḍime,,a1
below (less than),preposition,ಕೆಳಗೆ / ಕಡಿಮೆಗಿಂತ,keḷage / kaḍimegiṁta,,a1
below (spatially),preposition,ಕೆಳಗೆ,keḷage,,a1
better (in health),adjective,ವಾಸಿ / ಸುಧಾರಿಸಿದ,vāsi / sudhārisida,,a1
between,preposition,ಮಧ್ಯೆ / ನಡುವೆ,madhye / naḍuve,,a1
big,adjective,ದೊಡ್ಡ / ಬೃಹತ್ / ಮಹತ್ತರ,doḍḍa / br̥hat / mahattara,,a1
bike (bicycle),noun,ಸೈಕಲ್ / ಬೈಸಿಕಲ್,saikal / baisikal,,a1
bill (bird's beak),noun,ಕೊಕ್ಕು,kokku,,a1
bill (invoice),noun,ಬಿಲ್ / ಲೆಕ್ಕಪಟ್ಟಿ / ರಸೀದಿ,bil / lekkapaṭṭi / rasīdi,,a1
bird (common),noun,ಹಕ್ಕಿ / ಪಕ್ಷಿ,hakki / pakṣi,,a1
"bird (general, formal)",noun,ಪಕ್ಷಿ / ಹಕ್ಕಿ,pakṣi / hakki,,a1
birthday,noun,ಹುಟ್ಟಿದ ಹಬ್ಬ / ಜನ್ಮ ದಿನ,huṭṭida habba / janma dina,,a1
black (color),noun,ಕಪ್ಪು,kappu,,a1
blog,noun,ಬ್ಲಾಗ್,blāg,,a1
blonde,adjective,ಹೊಂಬಣ್ಣದ / ಹೊನ್ನಿನ ಬಣ್ಣದ,hoṁbaṇṇada / honnina baṇṇada,,a1
blue,noun,ನೀಲಿ,nīli,,a1
boat,noun,ದೋಣಿ / ನಾವೆ,dōṇi / nāve,,a1
body,noun,ದೇಹ / ಶರೀರ / ಮೈ / ಕಾಯ,dēha / śarīra / mai / kāya,,a1
book,noun,ಪುಸ್ತಕ / ಹೊತ್ತಿಗೆ / ಕಿತಾಬು,pustaka / hottige / kitābu,,a1
boot,noun,ಬೂಟು,būṭu,,a1
bored,adjective,ಬೇಸರಗೊಂಡ / ಬೇಸರವಾದ / ನೀರಸವಾದ,bēsaragoṁḍa / bēsaravāda / nīrasavāda,,a1
"boring (tedious, dull)",adjective,ಬೇಸರ ತರಿಸುವ / ನೀರಸವಾದ / ಕಂಟಾಳವಾದ,bēsara tarisuva / nīrasavāda / kaṁṭāḷavāda,,a1
both (modifying a noun),pronoun,ಎರಡೂ,eraḍū,,a1
both (people),determiner,ಇಬ್ಬರೂ,ibbarū,,a1
bottle,noun,ಬಾಟ್ಲಿ / ಸೀಸೆ,bāṭli / sīse,,a1
box,noun,ಪೆಟ್ಟಿಗೆ / ಡಬ್ಬಿ,peṭṭige / ḍabbi,,a1
boy,noun,ಹುಡುಗ / ಬಾಲಕ / ಕಿಶೋರ,huḍuga / bālaka / kiśōra,,a1
"boyfriend (casual, direct usage)",noun,ಬಾಯ್ಫ್ರೆಂಡ್,bāyphreṁḍ,,a1
boyfriend (general),noun,ಗೆಳೆಯ / ಸ್ನೇಹಿತ,geḷeya / snēhita,,a1
bread,noun,ಬ್ರೆಡ್,breḍ,,a1
bread (flatbread/roti),noun,ರೊಟ್ಟಿ / ಚಪಾತಿ / ಪೂರಿ,roṭṭi / capāti / pūri,,a1
"bread (general flatbread, roti)",noun,ರೊಟ್ಟಿ / ಚಪಾತಿ,roṭṭi / capāti,,a1
bread (Western style),noun,ಬ್ರೆಡ್,breḍ,,a1
break (rest period),noun,ವಿರಾಮ / ನಿಲುಗಡೆ / ಬಿಡುವು,virāma / nilugaḍe / biḍuvu,,a1
breakfast (common),noun,ಟಿಫಿನ್ / ಬೆಳಗಿನ ಉಪಾಹಾರ,ṭiphin / beḷagina upāhāra,,a1
breakfast (formal),noun,ಬೆಳಗಿನ ಉಪಾಹಾರ / ಪ್ರಭಾತ ಭೋಜನ,beḷagina upāhāra / prabhāta bhōjana,,a1
brother (elder),noun,ಅಣ್ಣ / ಅಣ್ಣಯ್ಯ,aṇṇa / aṇṇayya,,a1
brother (younger),noun,ತಮ್ಮ / ತಮ್ಮಯ್ಯ,tamma / tammayya,,a1
brown,noun,ಕಂದು ಬಣ್ಣ / ಕಂದು,kaṁdu baṇṇa / kaṁdu,,a1
brown (adjective),noun,ಕಂದು / ಕಂದುಬಣ್ಣದ,kaṁdu / kaṁdubaṇṇada,,a1
building,noun,ಕಟ್ಟಡ / ಭವನ / ಸೌಧ,kaṭṭaḍa / bhavana / saudha,,a1
bus,noun,ಬಸ್ಸು,bassu,,a1
"business (commercial enterprise, trade)",noun,ವ್ಯಾಪಾರ / ವ್ಯವಹಾರ / ಉದ್ಯಮ,vyāpāra / vyavahāra / udyama,,a1
"busy (crowded, bustling)",adjective,ನಿರತ / ಕಾರ್ಯನಿರತ / ಜನನಿಬಿಡ,nirata / kāryanirata / jananibiḍa,,a1
busy (telephone line engaged),adjective,ಬಿಜಿ / ನಿರತ,biji / nirata,,a1
by (deadline),preposition,ಒಳಗೆ / ಮುನ್ನ,oḷage / munna,,a1
by (means of),preposition,ಮೂಲಕ / ಇಂದ,mūlaka / iṁda,,a1
"by (near, beside)",preposition,ಪಕ್ಕದಲ್ಲಿ / ಹತ್ತಿರ / ಬಳಿ,pakkadalli / hattira / baḷi,,a1
bye (casual),noun,ಬೈ / ಸಿಕ್ತೀನಿ / ಹೋಗಿ ಬರ್ತೀನಿ,bai / siktīni / hōgi bartīni,,a1
bye (polite parting),exclamation,ಬೈ / ನಮಸ್ಕಾರ / ಹೋಗಿ ಬನ್ನಿ,bai / namaskāra / hōgi banni,,a1
cafe,noun,ಕಾಫಿ ಅಂಗಡಿ / ಕ್ಯಾಫೆ / ಕಾಫಿ ಮನೆ,kāphi aṁgaḍi / kyāphe / kāphi mane,,a1
cake,noun,ಕೇಕ್,kēk,,a1
"call (shout, cry)",noun,ಕೂಗು / ಕರೆ / ಆಹ್ವಾನ,kūgu / kare / āhvāna,,a1
call (telephone),noun,ಫೋನ್ ಕರೆ / ಕರೆ / ದೂರವಾಣಿ ಕರೆ,phōn kare / kare / dūravāṇi kare,,a1
camera,noun,ಕ್ಯಾಮೆರಾ,kyāmerā,,a1
can (ability),modal verb,ಸಾಧ್ಯವಾಗು,sādhyavāgu,,a1
"can (permission, request)",modal verb,ಅನುಮತಿ ಕೊಡು / ಅವಕಾಶ ಕೊಡು,anumati koḍu / avakāśa koḍu,,a1
"cannot (be allowed to , prohibited)",modal verb,ಅನುಮತಿ ಇಲ್ಲ / ನಿಷಿದ್ಧ,anumati illa / niṣiddha,,a1
"capital (chief, of the main city)",adjective,ರಾಜಧಾನಿಯ / ಮುಖ್ಯ / ಪ್ರಧಾನ,rājadhāniya / mukhya / pradhāna,,a1
capital (city),noun,ರಾಜಧಾನಿ / ರಾಜ್ಯಧಾನಿ,rājadhāni / rājyadhāni,,a1
capital (financial assets),noun,ಬಂಡವಾಳ / ಮೂಲಧನ,baṁḍavāḷa / mūladhana,,a1
capital (letter),adjective,ದೊಡ್ಡ / ಕ್ಯಾಪಿಟಲ್,doḍḍa / kyāpiṭal,,a1
car,noun,ಕಾರು / ವಾಹನ / ಮೋಟಾರು ಗಾಡಿ,kāru / vāhana / mōṭāru gāḍi,,a1
"card (greeting, post)",noun,ಕಾರ್ಡ್,kārḍ,,a1
"card (ID, Bank)",noun,ಕಾರ್ಡ್ / ಗುರುತು ಚೀಟಿ,kārḍ / gurutu cīṭi,,a1
career,noun,ವೃತ್ತಿ / ಉದ್ಯೋಗ / ಕೆಲಸ,vr̥tti / udyōga / kelasa,,a1
carrot,noun,ಗಜ್ಜರಿ,gajjari,,a1
cat,noun,ಬೆಕ್ಕು,bekku,,a1
cd,noun,ಸಿಡಿ,siḍi,,a1
cent (unit of land area),noun,ಸೆಂಟ್,seṁṭ,,a1
"centre (institution, hub)",noun,ಕೇಂದ್ರ / ಕೇಂದ್ರಸ್ಥಾನ,kēṁdra / kēṁdrasthāna,,a1
century (100 years),noun,ಶತಮಾನ / ನೂರು ವರ್ಷಗಳು,śatamāna / nūru varṣagaḷu,,a1
century (cricket score),noun,ಶತಕ / ಸೆಂಚುರಿ,śataka / seṁcuri,,a1
change (alteration),noun,ಬದಲಾವಣೆ / ಪರಿವರ್ತನೆ,badalāvaṇe / parivartane,,a1
change (money remainder),noun,ಚಿಲ್ಲರೆ / ಉಳಿದ ಹಣ,cillare / uḷida haṇa,,a1
chart (map for navigation),noun,ನಕ್ಷೆ / ಪಟ,nakṣe / paṭa,,a1
cheap (low cost),adjective,ಅಗ್ಗದ / ಕಡಿಮೆ ಬೆಲೆಯ,aggada / kaḍime beleya,,a1
cheap (low quality),adjective,ಕಳಪೆ / ಕಳಪೆ ಗುಣಮಟ್ಟದ,kaḷape / kaḷape guṇamaṭṭada,,a1
"cheap (stingy, miserly)",adjective,ಜಿಪುಣ / ಲೋಭಿ / ಕೃಪಣ,jipuṇa / lōbhi / kr̥paṇa,,a1
cheese,noun,ಚೀಸ್,cīs,,a1
chicken (animal),noun,ಕೋಳಿ,kōḷi,,a1
chicken (meat),noun,ಕೋಳಿ ಮಾಂಸ,kōḷi māṁsa,,a1
chocolate,noun,ಚಾಕೊಲೇಟ್,cākolēṭ,,a1
city,noun,ನಗರ / ಪಟ್ಟಣ,nagara / paṭṭaṇa,,a1
class (category/type),noun,ವರ್ಗ / ವಿಧ / ಪ್ರಕಾರ,varga / vidha / prakāra,,a1
class (grade level),noun,ತರಗತಿ / ವರ್ಗ,taragati / varga,,a1
"class (lesson, session)",noun,ತರಗತಿ / ಪಾಠ / ಅವಧಿ,taragati / pāṭha / avadhi,,a1
class (social stratum),noun,ವರ್ಗ / ಶ್ರೇಣಿ,varga / śrēṇi,,a1
classroom,noun,ತರಗತಿ ಕೊಠಡಿ / ತರಗತಿ ಕೋಣೆ,taragati koṭhaḍi / taragati kōṇe,,a1
clock (wall or desk timepiece),noun,ಗಡಿಯಾರ,gaḍiyāra,,a1
"clothes (garments, apparel)",noun,ಬಟ್ಟೆಗಳು / ವಸ್ತ್ರಗಳು,baṭṭegaḷu / vastragaḷu,,a1
club (organization),noun,ಕ್ಲಬ್ / ಸಂಸ್ಥೆ / ಕೂಟ,klab / saṁsthe / kūṭa,,a1
club (venue),noun,ನೈಟ್ಕ್ಲಬ್ / ಕ್ಲಬ್,naiṭklab / klab,,a1
coffee,noun,ಕಾಫಿ,kāphi,,a1
"cold (cool, refreshing)",adjective,ತಂಪಾದ / ತಂಪು,taṁpāda / taṁpu,,a1
cold (illness),noun,ನೆಗಡಿ / ಶೀತ,negaḍi / śīta,,a1
cold (low temperature),noun,ಚಳಿ / ಶೀತ,caḷi / śīta,,a1
"cold (temperature, unpleasant)",adjective,ಚಳಿಯಾದ / ಶೀತವಾದ,caḷiyāda / śītavāda,,a1
college,noun,ಕಾಲೇಜು / ಮಹಾವಿದ್ಯಾಲಯ,kālēju / mahāvidyālaya,,a1
colour,noun,ಬಣ್ಣ / ವರ್ಣ,baṇṇa / varṇa,,a1
"common (general, frequent)",adjective,ಸಾಮಾನ್ಯ / ಸಹಜ / ಸಾಧಾರಣ,sāmānya / sahaja / sādhāraṇa,,a1
"common (shared, joint)",adjective,ಸಾಮಾನ್ಯ / ಜಂಟಿ / ಸಹಭಾಗಿತ್ವದ,sāmānya / jaṁṭi / sahabhāgitvada,,a1
company (business entity),noun,ಕಂಪನಿ / ಸಂಸ್ಥೆ / ಉದ್ಯಮ,kaṁpani / saṁsthe / udyama,,a1
"company (companionship, guests)",noun,ಒಡನಾಟ / ಸಂಗಡ / ಸಹವಾಸ,oḍanāṭa / saṁgaḍa / sahavāsa,,a1
"complete (total, entire)",adjective,ಪೂರ್ಣ / ಸಂಪೂರ್ಣ / ಸಕಲ,pūrṇa / saṁpūrṇa / sakala,,a1
computer,noun,ಕಂಪ್ಯೂಟರ್ / ಗಣಕ ಯಂತ್ರ,kaṁpyūṭar / gaṇaka yaṁtra,,a1
concert,noun,ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮ / ಕಛೇರಿ / ಸಂಗೀತ ಕಛೇರಿ,saṁgīta kāryakrama / kachēri / saṁgīta kachēri,,a1
conversation (casual chat),noun,ಮಾತುಕತೆ / ಸಂಭಾಷಣೆ / ಹರಟೆ,mātukate / saṁbhāṣaṇe / haraṭe,,a1
cooking,noun,ಅಡುಗೆ / ಪಾಕ,aḍuge / pāka,,a1
cool (moderately cold),adjective,ತಂಪಾದ / ತಣ್ಣಗಾದ / ಶೀತಲವಾದ,taṁpāda / taṇṇagāda / śītalavāda,,a1
correct,adjective,ಸರಿ / ಸರಿಯಾದ / ನಿಖರವಾದ,sari / sariyāda / nikharavāda,,a1
"cost (expenditure, expense)",noun,ವೆಚ್ಚ / ಖರ್ಚು,vecca / kharcu,,a1
"cost (price, monetary value)",noun,ಬೆಲೆ / ದರ / ಮೌಲ್ಯ,bele / dara / maulya,,a1
could (past ability),modal verb,ಸಾಧ್ಯವಾಯಿತು,sādhyavāyitu,,a1
could (polite request),modal verb,ದಯವಿಟ್ಟು ಮಾಡಿಕೊಡು,dayaviṭṭu māḍikoḍu,,a1
could (possibility),modal verb,-ಬಹುದು / ಆಗಬಹುದು,-bahudu / āgabahudu,,a1
country (nation),noun,ದೇಶ / ರಾಷ್ಟ್ರ,dēśa / rāṣṭra,,a1
country (rural area),noun,ಗ್ರಾಮ ಪ್ರದೇಶ / ಹಳ್ಳಿ ಪ್ರದೇಶ / ಗ್ರಾಮಾಂತರ,grāma pradēśa / haḷḷi pradēśa / grāmāṁtara,,a1
course (meal),noun,ಆಹಾರದ ಹಂತು / ಭೋಜನದ ಹಂತ,āhārada haṁtu / bhōjanada haṁta,,a1
course (of study),noun,ಪಾಠ್ಯಕ್ರಮ / ಅಧ್ಯಯನ ಕ್ರಮ,pāṭhyakrama / adhyayana krama,,a1
"cousin (female, parallel cousin)",noun,ಸೋದರ ಸಂಬಂಧಿ (ಹೆಣ್ಣು) / ಅಕ್ಕನ ಮಗಳು / ಚಿಕ್ಕಮ್ಮನ ಮಗಳು,sōdara saṁbaṁdhi (heṇṇu) / akkana magaḷu / cikkammana magaḷu,,a1
"cousin (male, parallel cousin)",noun,ಸೋದರ ಸಂಬಂಧಿ (ಗಂಡು) / ಅಣ್ಣನ ಮಗ / ಚಿಕ್ಕಪ್ಪನ ಮಗ,sōdara saṁbaṁdhi (gaṁḍu) / aṇṇana maga / cikkappana maga,,a1
